tensor | epoch 1 | top1=0.0047 top2=0.0096 top3=0.0148 top4=0.0198 top5=0.0246 loss=0.171158 time=1008.50s
tensor | epoch 2 | top1=0.0054 top2=0.0107 top3=0.0163 top4=0.0216 top5=0.0272 loss=0.166310 time=1007.44s
tensor | epoch 3 | top1=0.0075 top2=0.0150 top3=0.0220 top4=0.0287 top5=0.0360 loss=0.164655 time=1007.53s
tensor | epoch 4 | top1=0.0095 top2=0.0180 top3=0.0260 top4=0.0343 top5=0.0425 loss=0.163807 time=1007.81s
tensor | epoch 5 | top1=0.0106 top2=0.0206 top3=0.0300 top4=0.0387 top5=0.0470 loss=0.163278 time=1007.99s
tensor | epoch 6 | top1=0.0122 top2=0.0230 top3=0.0332 top4=0.0427 top5=0.0515 loss=0.162634 time=1008.12s
tensor | epoch 7 | top1=0.0142 top2=0.0266 top3=0.0376 top4=0.0483 top5=0.0582 loss=0.161861 time=1008.70s
tensor | epoch 8 | top1=0.0155 top2=0.0293 top3=0.0419 top4=0.0536 top5=0.0646 loss=0.161176 time=1008.68s
tensor | epoch 9 | top1=0.0172 top2=0.0317 top3=0.0451 top4=0.0574 top5=0.0689 loss=0.160685 time=1008.80s
tensor | epoch 10 | top1=0.0204 top2=0.0372 top3=0.0516 top4=0.0650 top5=0.0775 loss=0.159802 time=1008.80s
tensor | epoch 11 | top1=0.0233 top2=0.0408 top3=0.0563 top4=0.0701 top5=0.0827 loss=0.159058 time=1008.30s
tensor | epoch 12 | top1=0.0259 top2=0.0452 top3=0.0611 top4=0.0766 top5=0.0896 loss=0.157952 time=1008.45s
tensor | epoch 13 | top1=0.0300 top2=0.0508 top3=0.0684 top4=0.0839 top5=0.0981 loss=0.156940 time=1008.73s
tensor | epoch 14 | top1=0.0329 top2=0.0560 top3=0.0750 top4=0.0920 top5=0.1073 loss=0.156071 time=1008.84s
tensor | epoch 15 | top1=0.0359 top2=0.0598 top3=0.0792 top4=0.0959 top5=0.1126 loss=0.155027 time=1008.92s
tensor | epoch 16 | top1=0.0404 top2=0.0662 top3=0.0868 top4=0.1053 top5=0.1225 loss=0.153730 time=1008.80s
tensor | epoch 17 | top1=0.0457 top2=0.0743 top3=0.0966 top4=0.1161 top5=0.1344 loss=0.152168 time=1008.59s
tensor | epoch 18 | top1=0.0507 top2=0.0805 top3=0.1042 top4=0.1249 top5=0.1427 loss=0.150634 time=1008.78s
tensor | epoch 19 | top1=0.0569 top2=0.0895 top3=0.1162 top4=0.1384 top5=0.1574 loss=0.148598 time=1008.80s
tensor | epoch 20 | top1=0.0669 top2=0.1024 top3=0.1321 top4=0.1555 top5=0.1760 loss=0.146364 time=1009.14s
tensor | epoch 21 | top1=0.0736 top2=0.1126 top3=0.1419 top4=0.1659 top5=0.1873 loss=0.144474 time=1008.99s
tensor | epoch 22 | top1=0.0762 top2=0.1166 top3=0.1472 top4=0.1721 top5=0.1938 loss=0.143023 time=1009.31s
tensor | epoch 23 | top1=0.0814 top2=0.1252 top3=0.1572 top4=0.1831 top5=0.2048 loss=0.142101 time=1009.30s
tensor | epoch 24 | top1=0.0858 top2=0.1297 top3=0.1617 top4=0.1876 top5=0.2100 loss=0.140915 time=1009.20s
tensor | epoch 25 | top1=0.0927 top2=0.1381 top3=0.1713 top4=0.1982 top5=0.2210 loss=0.139837 time=1008.97s
tensor | epoch 26 | top1=0.0914 top2=0.1358 top3=0.1682 top4=0.1940 top5=0.2159 loss=0.139121 time=1008.90s
tensor | epoch 27 | top1=0.0994 top2=0.1460 top3=0.1798 top4=0.2074 top5=0.2301 loss=0.138289 time=1008.96s
tensor | epoch 28 | top1=0.0998 top2=0.1488 top3=0.1836 top4=0.2115 top5=0.2355 loss=0.137418 time=1009.11s
tensor | epoch 29 | top1=0.1051 top2=0.1554 top3=0.1912 top4=0.2198 top5=0.2428 loss=0.136575 time=1008.80s
tensor | epoch 30 | top1=0.1081 top2=0.1576 top3=0.1929 top4=0.2213 top5=0.2452 loss=0.135532 time=1009.06s
tensor | epoch 31 | top1=0.1111 top2=0.1617 top3=0.1984 top4=0.2274 top5=0.2518 loss=0.134743 time=1009.29s
tensor | epoch 32 | top1=0.1138 top2=0.1665 top3=0.2029 top4=0.2328 top5=0.2578 loss=0.133904 time=1009.06s
tensor | epoch 33 | top1=0.1173 top2=0.1701 top3=0.2072 top4=0.2359 top5=0.2591 loss=0.133466 time=1009.26s
tensor | epoch 34 | top1=0.1213 top2=0.1757 top3=0.2134 top4=0.2427 top5=0.2669 loss=0.132646 time=1008.98s
tensor | epoch 35 | top1=0.1237 top2=0.1777 top3=0.2149 top4=0.2439 top5=0.2679 loss=0.132344 time=1009.08s
tensor | epoch 36 | top1=0.1267 top2=0.1823 top3=0.2200 top4=0.2490 top5=0.2733 loss=0.131904 time=1009.09s
tensor | epoch 37 | top1=0.1271 top2=0.1826 top3=0.2193 top4=0.2496 top5=0.2741 loss=0.131186 time=1009.13s
tensor | epoch 38 | top1=0.1331 top2=0.1890 top3=0.2274 top4=0.2576 top5=0.2817 loss=0.130683 time=1009.08s
tensor | epoch 39 | top1=0.1323 top2=0.1882 top3=0.2262 top4=0.2560 top5=0.2797 loss=0.129996 time=1008.84s
tensor | epoch 40 | top1=0.1349 top2=0.1920 top3=0.2308 top4=0.2599 top5=0.2838 loss=0.129832 time=1008.82s
tensor | epoch 41 | top1=0.1374 top2=0.1952 top3=0.2327 top4=0.2630 top5=0.2874 loss=0.129925 time=1009.04s
tensor | epoch 42 | top1=0.1427 top2=0.2004 top3=0.2389 top4=0.2683 top5=0.2932 loss=0.128897 time=1008.98s
tensor | epoch 43 | top1=0.1428 top2=0.2028 top3=0.2422 top4=0.2721 top5=0.2970 loss=0.128035 time=1008.82s
tensor | epoch 44 | top1=0.1443 top2=0.2019 top3=0.2405 top4=0.2700 top5=0.2942 loss=0.127756 time=1009.13s
tensor | epoch 45 | top1=0.1444 top2=0.2034 top3=0.2426 top4=0.2722 top5=0.2956 loss=0.127006 time=1008.82s
tensor | epoch 46 | top1=0.1488 top2=0.2076 top3=0.2464 top4=0.2764 top5=0.3009 loss=0.127083 time=1009.28s
tensor | epoch 47 | top1=0.1496 top2=0.2082 top3=0.2479 top4=0.2784 top5=0.3024 loss=0.126290 time=1008.96s
tensor | epoch 48 | top1=0.1548 top2=0.2140 top3=0.2540 top4=0.2839 top5=0.3091 loss=0.125978 time=1009.13s
tensor | epoch 49 | top1=0.1586 top2=0.2200 top3=0.2612 top4=0.2919 top5=0.3157 loss=0.125471 time=1008.92s
tensor | epoch 50 | top1=0.1562 top2=0.2161 top3=0.2552 top4=0.2856 top5=0.3096 loss=0.125023 time=1008.68s
tensor | epoch 51 | top1=0.1588 top2=0.2194 top3=0.2581 top4=0.2879 top5=0.3120 loss=0.124863 time=1008.85s
tensor | epoch 52 | top1=0.1585 top2=0.2180 top3=0.2579 top4=0.2881 top5=0.3118 loss=0.124958 time=1008.70s
tensor | epoch 53 | top1=0.1639 top2=0.2253 top3=0.2643 top4=0.2953 top5=0.3187 loss=0.124697 time=1008.88s
tensor | epoch 54 | top1=0.1643 top2=0.2263 top3=0.2659 top4=0.2960 top5=0.3198 loss=0.123692 time=1008.72s
tensor | epoch 55 | top1=0.1617 top2=0.2222 top3=0.2603 top4=0.2903 top5=0.3137 loss=0.123688 time=1008.90s
tensor | epoch 56 | top1=0.1701 top2=0.2339 top3=0.2744 top4=0.3043 top5=0.3295 loss=0.123270 time=1008.74s
tensor | epoch 57 | top1=0.1705 top2=0.2330 top3=0.2732 top4=0.3029 top5=0.3275 loss=0.122942 time=1008.86s
tensor | epoch 58 | top1=0.1667 top2=0.2281 top3=0.2677 top4=0.2968 top5=0.3209 loss=0.123030 time=1008.79s
tensor | epoch 59 | top1=0.1683 top2=0.2306 top3=0.2708 top4=0.2997 top5=0.3247 loss=0.122118 time=1008.87s
tensor | epoch 60 | top1=0.1692 top2=0.2306 top3=0.2705 top4=0.3000 top5=0.3230 loss=0.122434 time=1008.75s
tensor | epoch 61 | top1=0.1700 top2=0.2322 top3=0.2715 top4=0.3009 top5=0.3245 loss=0.121698 time=1008.68s
tensor | epoch 62 | top1=0.1740 top2=0.2361 top3=0.2771 top4=0.3059 top5=0.3297 loss=0.122053 time=1008.83s
tensor | epoch 63 | top1=0.1779 top2=0.2408 top3=0.2809 top4=0.3105 top5=0.3348 loss=0.120907 time=1008.77s
tensor | epoch 64 | top1=0.1809 top2=0.2426 top3=0.2826 top4=0.3124 top5=0.3361 loss=0.120962 time=1009.07s
tensor | epoch 65 | top1=0.1851 top2=0.2499 top3=0.2900 top4=0.3198 top5=0.3442 loss=0.120647 time=1008.77s
tensor | epoch 66 | top1=0.1846 top2=0.2485 top3=0.2895 top4=0.3192 top5=0.3432 loss=0.120375 time=1008.82s
tensor | epoch 67 | top1=0.1889 top2=0.2542 top3=0.2946 top4=0.3239 top5=0.3479 loss=0.119615 time=1008.88s
tensor | epoch 68 | top1=0.1826 top2=0.2455 top3=0.2855 top4=0.3146 top5=0.3381 loss=0.119740 time=1008.89s
tensor | epoch 69 | top1=0.1861 top2=0.2513 top3=0.2911 top4=0.3197 top5=0.3440 loss=0.119753 time=1008.67s
tensor | epoch 70 | top1=0.1908 top2=0.2556 top3=0.2954 top4=0.3265 top5=0.3495 loss=0.119589 time=1008.65s
tensor | epoch 71 | top1=0.1821 top2=0.2460 top3=0.2844 top4=0.3131 top5=0.3373 loss=0.119009 time=1008.76s
tensor | epoch 72 | top1=0.1955 top2=0.2618 top3=0.3021 top4=0.3312 top5=0.3546 loss=0.118572 time=1008.71s
tensor | epoch 73 | top1=0.1940 top2=0.2583 top3=0.2994 top4=0.3294 top5=0.3534 loss=0.118668 time=1008.81s
tensor | epoch 74 | top1=0.1907 top2=0.2558 top3=0.2956 top4=0.3253 top5=0.3488 loss=0.117957 time=1008.67s
tensor | epoch 75 | top1=0.1887 top2=0.2526 top3=0.2910 top4=0.3189 top5=0.3424 loss=0.117779 time=1009.05s
tensor | epoch 76 | top1=0.1950 top2=0.2602 top3=0.3007 top4=0.3300 top5=0.3533 loss=0.117529 time=1008.88s
tensor | epoch 77 | top1=0.1960 top2=0.2605 top3=0.3010 top4=0.3310 top5=0.3548 loss=0.117687 time=1008.97s
tensor | epoch 78 | top1=0.1964 top2=0.2600 top3=0.2993 top4=0.3285 top5=0.3516 loss=0.117073 time=1008.76s
tensor | epoch 79 | top1=0.2034 top2=0.2695 top3=0.3113 top4=0.3408 top5=0.3637 loss=0.117451 time=1008.81s
tensor | epoch 80 | top1=0.2019 top2=0.2680 top3=0.3076 top4=0.3380 top5=0.3615 loss=0.116372 time=1008.66s
tensor | epoch 81 | top1=0.2043 top2=0.2693 top3=0.3098 top4=0.3394 top5=0.3627 loss=0.116364 time=1009.00s
tensor | epoch 82 | top1=0.2006 top2=0.2670 top3=0.3067 top4=0.3358 top5=0.3597 loss=0.116110 time=1009.01s
tensor | epoch 83 | top1=0.2100 top2=0.2775 top3=0.3171 top4=0.3464 top5=0.3707 loss=0.115772 time=1008.75s
tensor | epoch 84 | top1=0.2013 top2=0.2648 top3=0.3033 top4=0.3321 top5=0.3545 loss=0.115836 time=1008.81s
