original | epoch 51 | top1=0.5500 top2=0.6959 top3=0.7702 top4=0.8167 top5=0.8490 loss=0.024928 time=9.91s
original | epoch 52 | top1=0.5555 top2=0.7035 top3=0.7771 top4=0.8226 top5=0.8534 loss=0.024554 time=9.92s
original | epoch 53 | top1=0.5611 top2=0.7053 top3=0.7769 top4=0.8237 top5=0.8552 loss=0.024400 time=9.95s
original | epoch 54 | top1=0.5632 top2=0.7105 top3=0.7837 top4=0.8291 top5=0.8586 loss=0.024143 time=9.88s
original | epoch 55 | top1=0.5597 top2=0.7095 top3=0.7826 top4=0.8284 top5=0.8578 loss=0.024216 time=9.92s
original | epoch 56 | top1=0.5655 top2=0.7134 top3=0.7864 top4=0.8312 top5=0.8614 loss=0.023885 time=9.92s
original | epoch 57 | top1=0.5655 top2=0.7124 top3=0.7872 top4=0.8328 top5=0.8625 loss=0.023813 time=9.86s
original | epoch 58 | top1=0.5702 top2=0.7164 top3=0.7893 top4=0.8329 top5=0.8633 loss=0.023620 time=9.82s
original | epoch 59 | top1=0.5746 top2=0.7200 top3=0.7920 top4=0.8365 top5=0.8657 loss=0.023433 time=9.93s
original | epoch 60 | top1=0.5761 top2=0.7213 top3=0.7952 top4=0.8378 top5=0.8692 loss=0.023180 time=9.88s
original | epoch 61 | top1=0.5774 top2=0.7259 top3=0.7968 top4=0.8416 top5=0.8700 loss=0.023043 time=9.88s
original | epoch 62 | top1=0.5795 top2=0.7271 top3=0.8009 top4=0.8435 top5=0.8719 loss=0.022866 time=9.89s
original | epoch 63 | top1=0.5822 top2=0.7282 top3=0.8018 top4=0.8445 top5=0.8723 loss=0.022803 time=9.93s
original | epoch 64 | top1=0.5850 top2=0.7311 top3=0.8024 top4=0.8443 top5=0.8735 loss=0.022674 time=9.85s
original | epoch 65 | top1=0.5866 top2=0.7351 top3=0.8063 top4=0.8491 top5=0.8771 loss=0.022363 time=9.85s
original | epoch 66 | top1=0.5874 top2=0.7314 top3=0.8040 top4=0.8473 top5=0.8757 loss=0.022499 time=9.80s
original | epoch 67 | top1=0.5914 top2=0.7371 top3=0.8078 top4=0.8499 top5=0.8771 loss=0.022233 time=9.83s
original | epoch 68 | top1=0.5923 top2=0.7397 top3=0.8096 top4=0.8517 top5=0.8795 loss=0.022072 time=9.87s
original | epoch 69 | top1=0.5943 top2=0.7424 top3=0.8133 top4=0.8562 top5=0.8836 loss=0.021898 time=9.84s
original | epoch 70 | top1=0.5979 top2=0.7419 top3=0.8128 top4=0.8540 top5=0.8829 loss=0.021790 time=9.85s
original | epoch 71 | top1=0.5981 top2=0.7444 top3=0.8149 top4=0.8562 top5=0.8846 loss=0.021696 time=9.85s
original | epoch 72 | top1=0.6015 top2=0.7495 top3=0.8191 top4=0.8612 top5=0.8878 loss=0.021451 time=9.86s
original | epoch 73 | top1=0.6003 top2=0.7480 top3=0.8174 top4=0.8599 top5=0.8872 loss=0.021431 time=9.84s
original | epoch 74 | top1=0.6064 top2=0.7523 top3=0.8209 top4=0.8611 top5=0.8884 loss=0.021163 time=9.83s
original | epoch 75 | top1=0.6037 top2=0.7523 top3=0.8227 top4=0.8629 top5=0.8890 loss=0.021192 time=9.84s
original | epoch 76 | top1=0.6073 top2=0.7531 top3=0.8232 top4=0.8644 top5=0.8905 loss=0.021133 time=9.85s
original | epoch 77 | top1=0.6099 top2=0.7539 top3=0.8222 top4=0.8639 top5=0.8916 loss=0.020993 time=9.92s
original | epoch 78 | top1=0.6118 top2=0.7558 top3=0.8251 top4=0.8664 top5=0.8929 loss=0.020877 time=9.96s
original | epoch 79 | top1=0.6151 top2=0.7566 top3=0.8267 top4=0.8667 top5=0.8931 loss=0.020762 time=9.90s
original | epoch 80 | top1=0.6134 top2=0.7595 top3=0.8294 top4=0.8699 top5=0.8964 loss=0.020593 time=9.88s
original | epoch 81 | top1=0.6152 top2=0.7598 top3=0.8275 top4=0.8682 top5=0.8941 loss=0.020602 time=9.89s
original | epoch 82 | top1=0.6183 top2=0.7626 top3=0.8299 top4=0.8706 top5=0.8970 loss=0.020459 time=9.85s
original | epoch 83 | top1=0.6214 top2=0.7637 top3=0.8325 top4=0.8724 top5=0.8972 loss=0.020427 time=9.83s
original | epoch 84 | top1=0.6217 top2=0.7631 top3=0.8315 top4=0.8707 top5=0.8974 loss=0.020270 time=9.84s
original | epoch 85 | top1=0.6229 top2=0.7654 top3=0.8328 top4=0.8728 top5=0.8984 loss=0.020200 time=9.87s
original | epoch 86 | top1=0.6215 top2=0.7690 top3=0.8362 top4=0.8753 top5=0.9016 loss=0.020060 time=9.86s
original | epoch 87 | top1=0.6245 top2=0.7716 top3=0.8388 top4=0.8761 top5=0.9017 loss=0.019888 time=9.93s
original | epoch 88 | top1=0.6261 top2=0.7700 top3=0.8360 top4=0.8759 top5=0.9012 loss=0.019905 time=9.84s
original | epoch 89 | top1=0.6249 top2=0.7718 top3=0.8391 top4=0.8772 top5=0.9034 loss=0.019819 time=9.92s
original | epoch 90 | top1=0.6263 top2=0.7738 top3=0.8415 top4=0.8795 top5=0.9047 loss=0.019715 time=9.83s
original | epoch 91 | top1=0.6307 top2=0.7746 top3=0.8425 top4=0.8804 top5=0.9046 loss=0.019628 time=9.81s
original | epoch 92 | top1=0.6288 top2=0.7756 top3=0.8426 top4=0.8800 top5=0.9045 loss=0.019567 time=9.83s
original | epoch 93 | top1=0.6345 top2=0.7779 top3=0.8428 top4=0.8800 top5=0.9054 loss=0.019392 time=9.91s
original | epoch 94 | top1=0.6323 top2=0.7769 top3=0.8445 top4=0.8823 top5=0.9073 loss=0.019396 time=9.92s
original | epoch 95 | top1=0.6351 top2=0.7799 top3=0.8465 top4=0.8829 top5=0.9080 loss=0.019244 time=9.87s
original | epoch 96 | top1=0.6377 top2=0.7791 top3=0.8464 top4=0.8843 top5=0.9088 loss=0.019150 time=9.89s
original | epoch 97 | top1=0.6355 top2=0.7797 top3=0.8466 top4=0.8845 top5=0.9096 loss=0.019161 time=9.97s
original | epoch 98 | top1=0.6406 top2=0.7825 top3=0.8481 top4=0.8861 top5=0.9100 loss=0.018993 time=9.89s
original | epoch 99 | top1=0.6420 top2=0.7843 top3=0.8498 top4=0.8867 top5=0.9100 loss=0.018972 time=9.89s
original | epoch 100 | top1=0.6388 top2=0.7857 top3=0.8512 top4=0.8866 top5=0.9114 loss=0.018866 time=9.83s
