tensorized | epoch 48 | top1=0.0823 top2=0.1252 top3=0.1568 top4=0.1827 top5=0.2039 loss=0.071465 time=581.59s
tensorized | epoch 49 | top1=0.0836 top2=0.1251 top3=0.1570 top4=0.1817 top5=0.2037 loss=0.071546 time=577.05s
tensorized | epoch 50 | top1=0.0828 top2=0.1250 top3=0.1566 top4=0.1825 top5=0.2046 loss=0.071456 time=578.76s
tensorized | epoch 51 | top1=0.0816 top2=0.1246 top3=0.1552 top4=0.1810 top5=0.2023 loss=0.071259 time=581.48s
tensorized | epoch 52 | top1=0.0849 top2=0.1281 top3=0.1594 top4=0.1861 top5=0.2083 loss=0.071230 time=581.46s
tensorized | epoch 53 | top1=0.0846 top2=0.1270 top3=0.1577 top4=0.1835 top5=0.2059 loss=0.071142 time=582.12s
tensorized | epoch 54 | top1=0.0830 top2=0.1263 top3=0.1576 top4=0.1829 top5=0.2049 loss=0.071312 time=581.15s
tensorized | epoch 55 | top1=0.0879 top2=0.1316 top3=0.1642 top4=0.1904 top5=0.2128 loss=0.071009 time=580.94s
tensorized | epoch 56 | top1=0.0848 top2=0.1275 top3=0.1590 top4=0.1836 top5=0.2049 loss=0.070921 time=581.38s
tensorized | epoch 57 | top1=0.0860 top2=0.1291 top3=0.1600 top4=0.1857 top5=0.2082 loss=0.071018 time=581.05s
tensorized | epoch 58 | top1=0.0876 top2=0.1328 top3=0.1646 top4=0.1904 top5=0.2125 loss=0.071000 time=580.57s
tensorized | epoch 59 | top1=0.0828 top2=0.1243 top3=0.1551 top4=0.1804 top5=0.2024 loss=0.070949 time=574.79s
tensorized | epoch 60 | top1=0.0897 top2=0.1340 top3=0.1658 top4=0.1926 top5=0.2148 loss=0.070711 time=580.43s
tensorized | epoch 61 | top1=0.0851 top2=0.1276 top3=0.1587 top4=0.1844 top5=0.2061 loss=0.070680 time=581.62s
tensorized | epoch 62 | top1=0.0872 top2=0.1303 top3=0.1617 top4=0.1870 top5=0.2088 loss=0.070704 time=581.83s
tensorized | epoch 63 | top1=0.0902 top2=0.1335 top3=0.1662 top4=0.1914 top5=0.2134 loss=0.070693 time=578.30s
tensorized | epoch 64 | top1=0.0931 top2=0.1389 top3=0.1724 top4=0.1993 top5=0.2216 loss=0.070499 time=582.34s
tensorized | epoch 65 | top1=0.0912 top2=0.1358 top3=0.1689 top4=0.1944 top5=0.2160 loss=0.070456 time=576.98s
tensorized | epoch 66 | top1=0.0920 top2=0.1370 top3=0.1691 top4=0.1950 top5=0.2169 loss=0.070359 time=577.34s
tensorized | epoch 67 | top1=0.0949 top2=0.1402 top3=0.1721 top4=0.1983 top5=0.2202 loss=0.070245 time=581.71s
tensorized | epoch 68 | top1=0.0912 top2=0.1355 top3=0.1681 top4=0.1941 top5=0.2160 loss=0.070349 time=581.15s
tensorized | epoch 69 | top1=0.0944 top2=0.1388 top3=0.1718 top4=0.1984 top5=0.2210 loss=0.070228 time=580.16s
tensorized | epoch 70 | top1=0.0972 top2=0.1437 top3=0.1765 top4=0.2027 top5=0.2259 loss=0.070226 time=579.46s
tensorized | epoch 71 | top1=0.0913 top2=0.1361 top3=0.1684 top4=0.1930 top5=0.2144 loss=0.070019 time=581.09s
tensorized | epoch 72 | top1=0.0929 top2=0.1378 top3=0.1700 top4=0.1961 top5=0.2178 loss=0.069851 time=581.23s
tensorized | epoch 73 | top1=0.0937 top2=0.1390 top3=0.1708 top4=0.1960 top5=0.2185 loss=0.069941 time=580.62s
tensorized | epoch 74 | top1=0.0942 top2=0.1389 top3=0.1712 top4=0.1981 top5=0.2202 loss=0.069676 time=582.17s
tensorized | epoch 75 | top1=0.0978 top2=0.1446 top3=0.1776 top4=0.2046 top5=0.2268 loss=0.069779 time=577.29s
tensorized | epoch 76 | top1=0.0968 top2=0.1440 top3=0.1770 top4=0.2035 top5=0.2257 loss=0.069671 time=581.89s
tensorized | epoch 77 | top1=0.0966 top2=0.1439 top3=0.1772 top4=0.2035 top5=0.2261 loss=0.069662 time=578.37s
tensorized | epoch 78 | top1=0.0976 top2=0.1426 top3=0.1757 top4=0.2026 top5=0.2250 loss=0.069633 time=577.40s
tensorized | epoch 79 | top1=0.0996 top2=0.1469 top3=0.1803 top4=0.2074 top5=0.2300 loss=0.069404 time=581.35s
tensorized | epoch 80 | top1=0.0977 top2=0.1422 top3=0.1747 top4=0.2004 top5=0.2222 loss=0.069428 time=581.28s
tensorized | epoch 81 | top1=0.0958 top2=0.1413 top3=0.1731 top4=0.1989 top5=0.2204 loss=0.069676 time=579.67s
tensorized | epoch 82 | top1=0.0995 top2=0.1466 top3=0.1800 top4=0.2071 top5=0.2305 loss=0.069647 time=576.43s
tensorized | epoch 83 | top1=0.1033 top2=0.1514 top3=0.1859 top4=0.2139 top5=0.2364 loss=0.069603 time=576.60s
tensorized | epoch 84 | top1=0.0997 top2=0.1470 top3=0.1803 top4=0.2080 top5=0.2304 loss=0.069357 time=576.82s
tensorized | epoch 85 | top1=0.0987 top2=0.1446 top3=0.1787 top4=0.2059 top5=0.2283 loss=0.069297 time=576.31s
tensorized | epoch 86 | top1=0.1028 top2=0.1526 top3=0.1862 top4=0.2130 top5=0.2366 loss=0.069424 time=576.99s
tensorized | epoch 87 | top1=0.0999 top2=0.1459 top3=0.1789 top4=0.2054 top5=0.2276 loss=0.069145 time=577.25s
tensorized | epoch 88 | top1=0.1005 top2=0.1469 top3=0.1802 top4=0.2077 top5=0.2298 loss=0.069335 time=581.16s
tensorized | epoch 89 | top1=0.0999 top2=0.1469 top3=0.1802 top4=0.2073 top5=0.2298 loss=0.069190 time=581.61s
tensorized | epoch 90 | top1=0.1017 top2=0.1489 top3=0.1818 top4=0.2092 top5=0.2320 loss=0.069092 time=580.98s
tensorized | epoch 91 | top1=0.1031 top2=0.1498 top3=0.1841 top4=0.2101 top5=0.2331 loss=0.069014 time=580.87s
tensorized | epoch 92 | top1=0.0978 top2=0.1433 top3=0.1763 top4=0.2029 top5=0.2251 loss=0.069135 time=581.65s
tensorized | epoch 93 | top1=0.1044 top2=0.1526 top3=0.1872 top4=0.2153 top5=0.2380 loss=0.069107 time=582.23s
tensorized | epoch 94 | top1=0.0993 top2=0.1466 top3=0.1797 top4=0.2064 top5=0.2285 loss=0.068960 time=582.12s
tensorized | epoch 95 | top1=0.1018 top2=0.1496 top3=0.1837 top4=0.2106 top5=0.2335 loss=0.069049 time=577.58s
tensorized | epoch 96 | top1=0.1046 top2=0.1528 top3=0.1873 top4=0.2151 top5=0.2385 loss=0.069100 time=578.14s
tensorized | epoch 97 | top1=0.1069 top2=0.1553 top3=0.1902 top4=0.2169 top5=0.2403 loss=0.068954 time=577.60s
tensorized | epoch 98 | top1=0.1029 top2=0.1496 top3=0.1837 top4=0.2103 top5=0.2327 loss=0.069108 time=581.63s
tensorized | epoch 99 | top1=0.1014 top2=0.1480 top3=0.1812 top4=0.2083 top5=0.2318 loss=0.069233 time=581.50s
tensorized | epoch 100 | top1=0.1015 top2=0.1492 top3=0.1822 top4=0.2091 top5=0.2315 loss=0.069043 time=581.94s
