tensor | epoch 1 | top1=0.0047 top2=0.0099 top3=0.0148 top4=0.0200 top5=0.0249 loss=0.172509 time=520.76s
tensor | epoch 2 | top1=0.0132 top2=0.0253 top3=0.0361 top4=0.0464 top5=0.0562 loss=0.162713 time=477.09s
tensor | epoch 3 | top1=0.0177 top2=0.0335 top3=0.0474 top4=0.0600 top5=0.0722 loss=0.160186 time=477.29s
tensor | epoch 4 | top1=0.0224 top2=0.0403 top3=0.0562 top4=0.0705 top5=0.0841 loss=0.158449 time=477.29s
tensor | epoch 5 | top1=0.0305 top2=0.0522 top3=0.0724 top4=0.0897 top5=0.1052 loss=0.155726 time=477.19s
tensor | epoch 6 | top1=0.0385 top2=0.0655 top3=0.0880 top4=0.1077 top5=0.1248 loss=0.152850 time=477.20s
tensor | epoch 7 | top1=0.0491 top2=0.0799 top3=0.1056 top4=0.1284 top5=0.1466 loss=0.149932 time=477.39s
tensor | epoch 8 | top1=0.0593 top2=0.0953 top3=0.1226 top4=0.1463 top5=0.1672 loss=0.147348 time=477.32s
tensor | epoch 9 | top1=0.0658 top2=0.1043 top3=0.1339 top4=0.1579 top5=0.1798 loss=0.145990 time=477.28s
tensor | epoch 10 | top1=0.0709 top2=0.1115 top3=0.1420 top4=0.1678 top5=0.1906 loss=0.144345 time=477.21s
tensor | epoch 11 | top1=0.0764 top2=0.1195 top3=0.1512 top4=0.1777 top5=0.2000 loss=0.143348 time=477.03s
tensor | epoch 12 | top1=0.0820 top2=0.1254 top3=0.1573 top4=0.1832 top5=0.2063 loss=0.142083 time=477.15s
tensor | epoch 13 | top1=0.0866 top2=0.1329 top3=0.1661 top4=0.1924 top5=0.2163 loss=0.140716 time=477.51s
tensor | epoch 14 | top1=0.0882 top2=0.1324 top3=0.1656 top4=0.1922 top5=0.2147 loss=0.139801 time=477.30s
tensor | epoch 15 | top1=0.0942 top2=0.1414 top3=0.1758 top4=0.2029 top5=0.2259 loss=0.138695 time=477.71s
tensor | epoch 16 | top1=0.0966 top2=0.1432 top3=0.1767 top4=0.2039 top5=0.2269 loss=0.138117 time=477.92s
tensor | epoch 17 | top1=0.1003 top2=0.1475 top3=0.1833 top4=0.2121 top5=0.2358 loss=0.137656 time=477.69s
tensor | epoch 18 | top1=0.1036 top2=0.1525 top3=0.1871 top4=0.2147 top5=0.2378 loss=0.137101 time=477.80s
tensor | epoch 19 | top1=0.1090 top2=0.1615 top3=0.1973 top4=0.2253 top5=0.2488 loss=0.136469 time=477.85s
