tensor | epoch 1 | top1=0.0048 top2=0.0093 top3=0.0140 top4=0.0187 top5=0.0242 loss=0.171986 time=196.54s
tensor | epoch 2 | top1=0.0132 top2=0.0239 top3=0.0336 top4=0.0428 top5=0.0522 loss=0.162884 time=195.55s
tensor | epoch 3 | top1=0.0200 top2=0.0362 top3=0.0511 top4=0.0649 top5=0.0770 loss=0.159733 time=196.22s
tensor | epoch 4 | top1=0.0243 top2=0.0420 top3=0.0571 top4=0.0717 top5=0.0857 loss=0.158316 time=195.80s
tensor | epoch 5 | top1=0.0288 top2=0.0502 top3=0.0677 top4=0.0839 top5=0.0993 loss=0.156419 time=195.96s
tensor | epoch 6 | top1=0.0373 top2=0.0641 top3=0.0857 top4=0.1052 top5=0.1225 loss=0.153680 time=196.03s
tensor | epoch 7 | top1=0.0455 top2=0.0755 top3=0.1005 top4=0.1208 top5=0.1394 loss=0.151031 time=200.65s
tensor | epoch 8 | top1=0.0556 top2=0.0895 top3=0.1163 top4=0.1391 top5=0.1591 loss=0.148534 time=197.89s
tensor | epoch 9 | top1=0.0644 top2=0.1024 top3=0.1322 top4=0.1562 top5=0.1767 loss=0.145902 time=198.23s
tensor | epoch 10 | top1=0.0749 top2=0.1159 top3=0.1467 top4=0.1728 top5=0.1947 loss=0.143710 time=195.99s
tensor | epoch 11 | top1=0.0843 top2=0.1283 top3=0.1606 top4=0.1869 top5=0.2091 loss=0.141812 time=195.78s
tensor | epoch 12 | top1=0.0925 top2=0.1396 top3=0.1741 top4=0.2017 top5=0.2252 loss=0.139745 time=197.33s
tensor | epoch 13 | top1=0.1015 top2=0.1503 top3=0.1864 top4=0.2149 top5=0.2390 loss=0.138226 time=198.55s
tensor | epoch 14 | top1=0.1031 top2=0.1515 top3=0.1858 top4=0.2140 top5=0.2377 loss=0.136955 time=196.17s
tensor | epoch 15 | top1=0.1110 top2=0.1610 top3=0.1966 top4=0.2249 top5=0.2483 loss=0.135511 time=195.94s
tensor | epoch 16 | top1=0.1116 top2=0.1643 top3=0.2000 top4=0.2291 top5=0.2534 loss=0.135037 time=196.61s
tensor | epoch 17 | top1=0.1164 top2=0.1692 top3=0.2056 top4=0.2347 top5=0.2593 loss=0.133979 time=196.46s
tensor | epoch 18 | top1=0.1161 top2=0.1689 top3=0.2042 top4=0.2345 top5=0.2586 loss=0.133322 time=196.14s
tensor | epoch 19 | top1=0.1214 top2=0.1748 top3=0.2115 top4=0.2409 top5=0.2655 loss=0.132524 time=196.14s
tensor | epoch 20 | top1=0.1246 top2=0.1797 top3=0.2165 top4=0.2452 top5=0.2698 loss=0.132174 time=196.06s
tensor | epoch 21 | top1=0.1231 top2=0.1776 top3=0.2145 top4=0.2431 top5=0.2666 loss=0.131263 time=195.87s
