original | epoch 51 | top1=0.1535 top2=0.2147 top3=0.2544 top4=0.2826 top5=0.3065 loss=0.125033 time=219.00s
original | epoch 52 | top1=0.1576 top2=0.2189 top3=0.2589 top4=0.2882 top5=0.3132 loss=0.124366 time=219.03s
original | epoch 53 | top1=0.1566 top2=0.2166 top3=0.2562 top4=0.2869 top5=0.3112 loss=0.124958 time=219.10s
original | epoch 54 | top1=0.1615 top2=0.2226 top3=0.2621 top4=0.2920 top5=0.3172 loss=0.124679 time=219.11s
original | epoch 55 | top1=0.1567 top2=0.2163 top3=0.2564 top4=0.2855 top5=0.3088 loss=0.124172 time=218.83s
original | epoch 56 | top1=0.1592 top2=0.2203 top3=0.2604 top4=0.2903 top5=0.3152 loss=0.124250 time=218.81s
original | epoch 57 | top1=0.1599 top2=0.2203 top3=0.2604 top4=0.2899 top5=0.3142 loss=0.124171 time=218.76s
original | epoch 58 | top1=0.1628 top2=0.2229 top3=0.2630 top4=0.2926 top5=0.3162 loss=0.123943 time=218.61s
original | epoch 59 | top1=0.1592 top2=0.2205 top3=0.2596 top4=0.2891 top5=0.3130 loss=0.124115 time=218.79s
original | epoch 60 | top1=0.1631 top2=0.2248 top3=0.2648 top4=0.2954 top5=0.3193 loss=0.123896 time=218.73s
original | epoch 61 | top1=0.1617 top2=0.2226 top3=0.2613 top4=0.2912 top5=0.3157 loss=0.123887 time=218.93s
original | epoch 62 | top1=0.1594 top2=0.2208 top3=0.2597 top4=0.2897 top5=0.3131 loss=0.123191 time=218.79s
original | epoch 63 | top1=0.1621 top2=0.2235 top3=0.2620 top4=0.2921 top5=0.3157 loss=0.123526 time=218.79s
original | epoch 64 | top1=0.1625 top2=0.2240 top3=0.2634 top4=0.2929 top5=0.3157 loss=0.123414 time=218.63s
original | epoch 65 | top1=0.1632 top2=0.2245 top3=0.2643 top4=0.2940 top5=0.3182 loss=0.123715 time=218.59s
original | epoch 66 | top1=0.1622 top2=0.2236 top3=0.2627 top4=0.2924 top5=0.3164 loss=0.123094 time=218.67s
original | epoch 67 | top1=0.1681 top2=0.2296 top3=0.2702 top4=0.3002 top5=0.3244 loss=0.123315 time=218.66s
original | epoch 68 | top1=0.1631 top2=0.2244 top3=0.2647 top4=0.2937 top5=0.3177 loss=0.123126 time=218.63s
original | epoch 69 | top1=0.1652 top2=0.2276 top3=0.2672 top4=0.2977 top5=0.3218 loss=0.122881 time=218.79s
original | epoch 70 | top1=0.1668 top2=0.2279 top3=0.2672 top4=0.2968 top5=0.3211 loss=0.122098 time=218.70s
original | epoch 71 | top1=0.1678 top2=0.2316 top3=0.2713 top4=0.3018 top5=0.3261 loss=0.122490 time=218.60s
original | epoch 72 | top1=0.1647 top2=0.2271 top3=0.2674 top4=0.2978 top5=0.3217 loss=0.122957 time=218.51s
original | epoch 73 | top1=0.1680 top2=0.2298 top3=0.2700 top4=0.2994 top5=0.3230 loss=0.122640 time=218.67s
original | epoch 74 | top1=0.1696 top2=0.2322 top3=0.2728 top4=0.3030 top5=0.3272 loss=0.122813 time=218.69s
original | epoch 75 | top1=0.1715 top2=0.2351 top3=0.2758 top4=0.3062 top5=0.3310 loss=0.122575 time=218.98s
original | epoch 76 | top1=0.1693 top2=0.2311 top3=0.2717 top4=0.3020 top5=0.3265 loss=0.121861 time=218.40s
original | epoch 77 | top1=0.1682 top2=0.2312 top3=0.2711 top4=0.3000 top5=0.3237 loss=0.121857 time=218.63s
original | epoch 78 | top1=0.1652 top2=0.2271 top3=0.2668 top4=0.2966 top5=0.3209 loss=0.122354 time=218.72s
original | epoch 79 | top1=0.1684 top2=0.2297 top3=0.2688 top4=0.2994 top5=0.3229 loss=0.121671 time=218.59s
original | epoch 80 | top1=0.1739 top2=0.2372 top3=0.2778 top4=0.3075 top5=0.3317 loss=0.121630 time=218.59s
original | epoch 81 | top1=0.1741 top2=0.2389 top3=0.2796 top4=0.3095 top5=0.3340 loss=0.121817 time=219.12s
original | epoch 82 | top1=0.1701 top2=0.2319 top3=0.2712 top4=0.3003 top5=0.3241 loss=0.121686 time=219.42s
original | epoch 83 | top1=0.1687 top2=0.2315 top3=0.2713 top4=0.3009 top5=0.3245 loss=0.121712 time=219.11s
original | epoch 84 | top1=0.1715 top2=0.2341 top3=0.2737 top4=0.3043 top5=0.3289 loss=0.121567 time=219.01s
original | epoch 85 | top1=0.1742 top2=0.2368 top3=0.2775 top4=0.3083 top5=0.3325 loss=0.121314 time=219.05s
original | epoch 86 | top1=0.1695 top2=0.2316 top3=0.2722 top4=0.3021 top5=0.3266 loss=0.121366 time=219.00s
original | epoch 87 | top1=0.1664 top2=0.2266 top3=0.2669 top4=0.2963 top5=0.3191 loss=0.121189 time=218.90s
original | epoch 88 | top1=0.1691 top2=0.2295 top3=0.2694 top4=0.2995 top5=0.3226 loss=0.120923 time=218.79s
original | epoch 89 | top1=0.1739 top2=0.2375 top3=0.2776 top4=0.3067 top5=0.3300 loss=0.121022 time=218.60s
original | epoch 90 | top1=0.1759 top2=0.2397 top3=0.2796 top4=0.3106 top5=0.3346 loss=0.121315 time=219.01s
original | epoch 91 | top1=0.1732 top2=0.2370 top3=0.2766 top4=0.3064 top5=0.3306 loss=0.121082 time=218.87s
original | epoch 92 | top1=0.1774 top2=0.2419 top3=0.2813 top4=0.3112 top5=0.3350 loss=0.120165 time=218.77s
original | epoch 93 | top1=0.1784 top2=0.2414 top3=0.2820 top4=0.3121 top5=0.3360 loss=0.120474 time=219.08s
original | epoch 94 | top1=0.1726 top2=0.2344 top3=0.2740 top4=0.3034 top5=0.3275 loss=0.120966 time=218.59s
original | epoch 95 | top1=0.1728 top2=0.2360 top3=0.2741 top4=0.3040 top5=0.3277 loss=0.120776 time=218.75s
original | epoch 96 | top1=0.1802 top2=0.2439 top3=0.2857 top4=0.3162 top5=0.3408 loss=0.120559 time=218.86s
original | epoch 97 | top1=0.1785 top2=0.2432 top3=0.2837 top4=0.3141 top5=0.3377 loss=0.120161 time=218.70s
original | epoch 98 | top1=0.1766 top2=0.2403 top3=0.2806 top4=0.3110 top5=0.3350 loss=0.120132 time=219.08s
original | epoch 99 | top1=0.1741 top2=0.2372 top3=0.2780 top4=0.3074 top5=0.3309 loss=0.120517 time=218.78s
original | epoch 100 | top1=0.1769 top2=0.2394 top3=0.2787 top4=0.3087 top5=0.3324 loss=0.120425 time=218.91s
original | epoch 101 | top1=0.1742 top2=0.2374 top3=0.2782 top4=0.3078 top5=0.3312 loss=0.120282 time=218.85s
original | epoch 102 | top1=0.1739 top2=0.2372 top3=0.2777 top4=0.3070 top5=0.3307 loss=0.120204 time=218.98s
original | epoch 103 | top1=0.1761 top2=0.2382 top3=0.2781 top4=0.3066 top5=0.3293 loss=0.120100 time=218.85s
original | epoch 104 | top1=0.1809 top2=0.2457 top3=0.2858 top4=0.3157 top5=0.3407 loss=0.120355 time=218.65s
original | epoch 105 | top1=0.1782 top2=0.2415 top3=0.2818 top4=0.3106 top5=0.3349 loss=0.119916 time=218.94s
original | epoch 106 | top1=0.1766 top2=0.2404 top3=0.2797 top4=0.3090 top5=0.3324 loss=0.119421 time=219.34s
original | epoch 107 | top1=0.1769 top2=0.2403 top3=0.2798 top4=0.3095 top5=0.3329 loss=0.120449 time=219.28s
original | epoch 108 | top1=0.1805 top2=0.2440 top3=0.2849 top4=0.3147 top5=0.3377 loss=0.119606 time=219.22s
original | epoch 109 | top1=0.1767 top2=0.2398 top3=0.2793 top4=0.3085 top5=0.3321 loss=0.119610 time=218.86s
original | epoch 110 | top1=0.1835 top2=0.2482 top3=0.2901 top4=0.3207 top5=0.3446 loss=0.120298 time=218.66s
original | epoch 111 | top1=0.1816 top2=0.2453 top3=0.2848 top4=0.3135 top5=0.3376 loss=0.119267 time=218.95s
original | epoch 112 | top1=0.1828 top2=0.2482 top3=0.2887 top4=0.3175 top5=0.3425 loss=0.119207 time=218.79s
original | epoch 113 | top1=0.1818 top2=0.2464 top3=0.2867 top4=0.3165 top5=0.3406 loss=0.120067 time=218.72s
original | epoch 114 | top1=0.1830 top2=0.2483 top3=0.2894 top4=0.3187 top5=0.3434 loss=0.119367 time=218.49s
original | epoch 115 | top1=0.1809 top2=0.2437 top3=0.2840 top4=0.3131 top5=0.3369 loss=0.119032 time=218.99s
original | epoch 116 | top1=0.1827 top2=0.2473 top3=0.2871 top4=0.3173 top5=0.3417 loss=0.119127 time=218.87s
original | epoch 117 | top1=0.1808 top2=0.2445 top3=0.2837 top4=0.3135 top5=0.3381 loss=0.119748 time=218.93s
original | epoch 118 | top1=0.1847 top2=0.2505 top3=0.2906 top4=0.3210 top5=0.3461 loss=0.119580 time=219.09s
original | epoch 119 | top1=0.1827 top2=0.2481 top3=0.2893 top4=0.3197 top5=0.3433 loss=0.119136 time=218.61s
original | epoch 120 | top1=0.1782 top2=0.2406 top3=0.2804 top4=0.3103 top5=0.3334 loss=0.118733 time=218.83s
original | epoch 121 | top1=0.1806 top2=0.2456 top3=0.2861 top4=0.3159 top5=0.3392 loss=0.119215 time=218.72s
original | epoch 122 | top1=0.1823 top2=0.2460 top3=0.2860 top4=0.3167 top5=0.3409 loss=0.119016 time=218.54s
original | epoch 123 | top1=0.1875 top2=0.2520 top3=0.2932 top4=0.3236 top5=0.3465 loss=0.118692 time=218.72s
original | epoch 124 | top1=0.1864 top2=0.2508 top3=0.2913 top4=0.3209 top5=0.3453 loss=0.119325 time=219.36s
original | epoch 125 | top1=0.1832 top2=0.2473 top3=0.2874 top4=0.3172 top5=0.3411 loss=0.118736 time=218.62s
original | epoch 126 | top1=0.1786 top2=0.2417 top3=0.2817 top4=0.3105 top5=0.3341 loss=0.119214 time=219.04s
original | epoch 127 | top1=0.1816 top2=0.2454 top3=0.2867 top4=0.3161 top5=0.3397 loss=0.118715 time=219.00s
