tensorized | epoch 48 | top1=0.2303 top2=0.3416 top3=0.4180 top4=0.4751 top5=0.5223 loss=0.049010 time=33.63s
tensorized | epoch 49 | top1=0.2313 top2=0.3413 top3=0.4168 top4=0.4740 top5=0.5209 loss=0.049005 time=33.60s
tensorized | epoch 50 | top1=0.2352 top2=0.3439 top3=0.4189 top4=0.4758 top5=0.5227 loss=0.048840 time=33.74s
tensorized | epoch 51 | top1=0.2363 top2=0.3470 top3=0.4237 top4=0.4812 top5=0.5259 loss=0.048667 time=33.80s
tensorized | epoch 52 | top1=0.2381 top2=0.3486 top3=0.4238 top4=0.4812 top5=0.5275 loss=0.048587 time=33.58s
tensorized | epoch 53 | top1=0.2385 top2=0.3511 top3=0.4281 top4=0.4845 top5=0.5297 loss=0.048426 time=33.57s
tensorized | epoch 54 | top1=0.2396 top2=0.3523 top3=0.4309 top4=0.4887 top5=0.5319 loss=0.048309 time=33.64s
tensorized | epoch 55 | top1=0.2421 top2=0.3525 top3=0.4286 top4=0.4866 top5=0.5320 loss=0.048274 time=33.63s
tensorized | epoch 56 | top1=0.2407 top2=0.3530 top3=0.4328 top4=0.4883 top5=0.5327 loss=0.048154 time=33.75s
tensorized | epoch 57 | top1=0.2432 top2=0.3551 top3=0.4322 top4=0.4893 top5=0.5362 loss=0.048019 time=33.63s
tensorized | epoch 58 | top1=0.2425 top2=0.3570 top3=0.4366 top4=0.4935 top5=0.5373 loss=0.047962 time=33.62s
tensorized | epoch 59 | top1=0.2456 top2=0.3590 top3=0.4368 top4=0.4940 top5=0.5391 loss=0.047845 time=33.76s
tensorized | epoch 60 | top1=0.2444 top2=0.3573 top3=0.4348 top4=0.4930 top5=0.5392 loss=0.047834 time=33.72s
tensorized | epoch 61 | top1=0.2480 top2=0.3607 top3=0.4371 top4=0.4961 top5=0.5432 loss=0.047728 time=33.66s
tensorized | epoch 62 | top1=0.2493 top2=0.3620 top3=0.4396 top4=0.4980 top5=0.5440 loss=0.047563 time=33.63s
tensorized | epoch 63 | top1=0.2481 top2=0.3620 top3=0.4395 top4=0.4973 top5=0.5436 loss=0.047546 time=33.65s
tensorized | epoch 64 | top1=0.2507 top2=0.3659 top3=0.4449 top4=0.5024 top5=0.5483 loss=0.047416 time=33.69s
tensorized | epoch 65 | top1=0.2534 top2=0.3664 top3=0.4452 top4=0.5033 top5=0.5472 loss=0.047274 time=33.73s
tensorized | epoch 66 | top1=0.2510 top2=0.3671 top3=0.4451 top4=0.5034 top5=0.5484 loss=0.047274 time=33.70s
tensorized | epoch 67 | top1=0.2557 top2=0.3704 top3=0.4478 top4=0.5061 top5=0.5518 loss=0.047125 time=33.73s
tensorized | epoch 68 | top1=0.2553 top2=0.3695 top3=0.4474 top4=0.5057 top5=0.5508 loss=0.047071 time=33.65s
tensorized | epoch 69 | top1=0.2547 top2=0.3699 top3=0.4485 top4=0.5077 top5=0.5530 loss=0.046988 time=33.72s
tensorized | epoch 70 | top1=0.2562 top2=0.3739 top3=0.4523 top4=0.5090 top5=0.5539 loss=0.046797 time=33.59s
tensorized | epoch 71 | top1=0.2573 top2=0.3760 top3=0.4540 top4=0.5126 top5=0.5576 loss=0.046787 time=33.61s
tensorized | epoch 72 | top1=0.2588 top2=0.3762 top3=0.4553 top4=0.5134 top5=0.5582 loss=0.046746 time=33.57s
tensorized | epoch 73 | top1=0.2617 top2=0.3784 top3=0.4577 top4=0.5158 top5=0.5615 loss=0.046521 time=33.62s
tensorized | epoch 74 | top1=0.2632 top2=0.3782 top3=0.4572 top4=0.5155 top5=0.5609 loss=0.046441 time=33.65s
tensorized | epoch 75 | top1=0.2619 top2=0.3784 top3=0.4553 top4=0.5141 top5=0.5602 loss=0.046486 time=33.78s
