tensor | epoch 1 | top1=0.0048 top2=0.0093 top3=0.0144 top4=0.0194 top5=0.0243 loss=0.172959 time=468.58s
tensor | epoch 2 | top1=0.0093 top2=0.0187 top3=0.0273 top4=0.0354 top5=0.0437 loss=0.163948 time=468.16s
tensor | epoch 3 | top1=0.0168 top2=0.0311 top3=0.0442 top4=0.0563 top5=0.0679 loss=0.160544 time=468.14s
tensor | epoch 4 | top1=0.0241 top2=0.0432 top3=0.0604 top4=0.0753 top5=0.0901 loss=0.157767 time=468.05s
tensor | epoch 5 | top1=0.0350 top2=0.0594 top3=0.0794 top4=0.0986 top5=0.1148 loss=0.154747 time=468.18s
tensor | epoch 6 | top1=0.0452 top2=0.0735 top3=0.0972 top4=0.1171 top5=0.1358 loss=0.151350 time=468.25s
tensor | epoch 7 | top1=0.0559 top2=0.0906 top3=0.1180 top4=0.1402 top5=0.1604 loss=0.148311 time=468.18s
tensor | epoch 8 | top1=0.0656 top2=0.1032 top3=0.1321 top4=0.1570 top5=0.1780 loss=0.145745 time=468.42s
tensor | epoch 9 | top1=0.0722 top2=0.1123 top3=0.1422 top4=0.1679 top5=0.1900 loss=0.143672 time=468.10s
tensor | epoch 10 | top1=0.0800 top2=0.1229 top3=0.1544 top4=0.1815 top5=0.2051 loss=0.141862 time=468.10s
tensor | epoch 11 | top1=0.0839 top2=0.1278 top3=0.1607 top4=0.1880 top5=0.2106 loss=0.140508 time=468.12s
tensor | epoch 12 | top1=0.0893 top2=0.1346 top3=0.1683 top4=0.1943 top5=0.2173 loss=0.139106 time=468.19s
tensor | epoch 13 | top1=0.0971 top2=0.1450 top3=0.1797 top4=0.2087 top5=0.2319 loss=0.137929 time=468.13s
tensor | epoch 14 | top1=0.1040 top2=0.1545 top3=0.1901 top4=0.2183 top5=0.2418 loss=0.136573 time=468.03s
tensor | epoch 15 | top1=0.1075 top2=0.1571 top3=0.1939 top4=0.2219 top5=0.2455 loss=0.135756 time=468.18s
tensor | epoch 16 | top1=0.1122 top2=0.1634 top3=0.2007 top4=0.2291 top5=0.2529 loss=0.135323 time=468.23s
tensor | epoch 17 | top1=0.1142 top2=0.1672 top3=0.2028 top4=0.2319 top5=0.2556 loss=0.134226 time=468.23s
tensor | epoch 18 | top1=0.1159 top2=0.1684 top3=0.2045 top4=0.2331 top5=0.2566 loss=0.133512 time=468.19s
tensor | epoch 19 | top1=0.1170 top2=0.1696 top3=0.2054 top4=0.2344 top5=0.2585 loss=0.133364 time=468.09s
tensor | epoch 20 | top1=0.1214 top2=0.1749 top3=0.2118 top4=0.2406 top5=0.2649 loss=0.132712 time=468.30s
tensor | epoch 21 | top1=0.1226 top2=0.1766 top3=0.2135 top4=0.2432 top5=0.2671 loss=0.132022 time=468.20s
tensor | epoch 22 | top1=0.1232 top2=0.1781 top3=0.2155 top4=0.2445 top5=0.2684 loss=0.132072 time=468.11s
tensor | epoch 23 | top1=0.1285 top2=0.1830 top3=0.2206 top4=0.2495 top5=0.2745 loss=0.131514 time=468.14s
tensor | epoch 24 | top1=0.1318 top2=0.1863 top3=0.2248 top4=0.2540 top5=0.2784 loss=0.131195 time=468.10s
tensor | epoch 25 | top1=0.1291 top2=0.1850 top3=0.2221 top4=0.2509 top5=0.2753 loss=0.130763 time=468.12s
tensor | epoch 26 | top1=0.1281 top2=0.1822 top3=0.2191 top4=0.2479 top5=0.2724 loss=0.130436 time=468.12s
tensor | epoch 27 | top1=0.1334 top2=0.1910 top3=0.2292 top4=0.2588 top5=0.2834 loss=0.129881 time=467.99s
tensor | epoch 28 | top1=0.1360 top2=0.1929 top3=0.2314 top4=0.2615 top5=0.2853 loss=0.129829 time=468.22s
tensor | epoch 29 | top1=0.1329 top2=0.1906 top3=0.2291 top4=0.2586 top5=0.2820 loss=0.129119 time=468.33s
tensor | epoch 30 | top1=0.1349 top2=0.1921 top3=0.2299 top4=0.2586 top5=0.2820 loss=0.129227 time=468.17s
tensor | epoch 31 | top1=0.1404 top2=0.1976 top3=0.2360 top4=0.2659 top5=0.2905 loss=0.128906 time=468.10s
tensor | epoch 32 | top1=0.1446 top2=0.2025 top3=0.2422 top4=0.2711 top5=0.2951 loss=0.128680 time=468.02s
tensor | epoch 33 | top1=0.1431 top2=0.2011 top3=0.2402 top4=0.2711 top5=0.2949 loss=0.128368 time=468.03s
tensor | epoch 34 | top1=0.1458 top2=0.2057 top3=0.2449 top4=0.2758 top5=0.2994 loss=0.128244 time=468.20s
tensor | epoch 35 | top1=0.1394 top2=0.1977 top3=0.2358 top4=0.2641 top5=0.2888 loss=0.128237 time=468.11s
