tensorized | epoch 48 | top1=0.1312 top2=0.1851 top3=0.2237 top4=0.2532 top5=0.2775 loss=0.064733 time=579.07s
tensorized | epoch 49 | top1=0.1404 top2=0.1979 top3=0.2356 top4=0.2653 top5=0.2902 loss=0.064584 time=578.34s
tensorized | epoch 50 | top1=0.1415 top2=0.1989 top3=0.2376 top4=0.2675 top5=0.2916 loss=0.064466 time=581.83s
tensorized | epoch 51 | top1=0.1445 top2=0.2033 top3=0.2422 top4=0.2717 top5=0.2958 loss=0.063800 time=581.96s
tensorized | epoch 52 | top1=0.1442 top2=0.2018 top3=0.2408 top4=0.2701 top5=0.2942 loss=0.064199 time=581.77s
tensorized | epoch 53 | top1=0.1454 top2=0.2031 top3=0.2416 top4=0.2717 top5=0.2964 loss=0.063636 time=581.96s
tensorized | epoch 54 | top1=0.1448 top2=0.2015 top3=0.2406 top4=0.2701 top5=0.2939 loss=0.063720 time=581.99s
tensorized | epoch 55 | top1=0.1495 top2=0.2103 top3=0.2489 top4=0.2787 top5=0.3035 loss=0.063603 time=579.25s
tensorized | epoch 56 | top1=0.1540 top2=0.2140 top3=0.2533 top4=0.2826 top5=0.3073 loss=0.062872 time=581.96s
tensorized | epoch 57 | top1=0.1486 top2=0.2074 top3=0.2461 top4=0.2747 top5=0.2977 loss=0.062694 time=581.75s
tensorized | epoch 58 | top1=0.1596 top2=0.2215 top3=0.2621 top4=0.2922 top5=0.3169 loss=0.063047 time=580.50s
tensorized | epoch 59 | top1=0.1551 top2=0.2137 top3=0.2526 top4=0.2824 top5=0.3055 loss=0.062675 time=582.18s
tensorized | epoch 60 | top1=0.1640 top2=0.2255 top3=0.2638 top4=0.2944 top5=0.3191 loss=0.062128 time=581.60s
tensorized | epoch 61 | top1=0.1603 top2=0.2214 top3=0.2613 top4=0.2912 top5=0.3151 loss=0.062148 time=581.18s
tensorized | epoch 62 | top1=0.1600 top2=0.2190 top3=0.2574 top4=0.2861 top5=0.3095 loss=0.061814 time=578.84s
tensorized | epoch 63 | top1=0.1625 top2=0.2222 top3=0.2607 top4=0.2897 top5=0.3139 loss=0.061950 time=579.44s
tensorized | epoch 64 | top1=0.1663 top2=0.2262 top3=0.2648 top4=0.2945 top5=0.3190 loss=0.061582 time=581.66s
tensorized | epoch 65 | top1=0.1653 top2=0.2269 top3=0.2655 top4=0.2960 top5=0.3201 loss=0.061886 time=582.15s
tensorized | epoch 66 | top1=0.1699 top2=0.2305 top3=0.2706 top4=0.3007 top5=0.3251 loss=0.061688 time=581.21s
tensorized | epoch 67 | top1=0.1720 top2=0.2339 top3=0.2743 top4=0.3043 top5=0.3283 loss=0.061431 time=581.95s
tensorized | epoch 68 | top1=0.1686 top2=0.2306 top3=0.2702 top4=0.2998 top5=0.3234 loss=0.061177 time=582.22s
tensorized | epoch 69 | top1=0.1703 top2=0.2316 top3=0.2707 top4=0.2992 top5=0.3228 loss=0.060854 time=581.61s
tensorized | epoch 70 | top1=0.1767 top2=0.2392 top3=0.2785 top4=0.3074 top5=0.3323 loss=0.060790 time=580.42s
tensorized | epoch 71 | top1=0.1678 top2=0.2283 top3=0.2659 top4=0.2950 top5=0.3181 loss=0.060886 time=581.64s
tensorized | epoch 72 | top1=0.1714 top2=0.2319 top3=0.2696 top4=0.2991 top5=0.3225 loss=0.060440 time=581.25s
tensorized | epoch 73 | top1=0.1816 top2=0.2463 top3=0.2868 top4=0.3177 top5=0.3420 loss=0.060560 time=580.36s
tensorized | epoch 74 | top1=0.1826 top2=0.2472 top3=0.2870 top4=0.3170 top5=0.3412 loss=0.060579 time=581.69s
tensorized | epoch 75 | top1=0.1839 top2=0.2487 top3=0.2886 top4=0.3193 top5=0.3429 loss=0.059987 time=581.83s
tensorized | epoch 76 | top1=0.1751 top2=0.2375 top3=0.2776 top4=0.3067 top5=0.3295 loss=0.060368 time=581.57s
tensorized | epoch 77 | top1=0.1867 top2=0.2515 top3=0.2918 top4=0.3216 top5=0.3461 loss=0.059883 time=581.09s
tensorized | epoch 78 | top1=0.1782 top2=0.2393 top3=0.2788 top4=0.3082 top5=0.3320 loss=0.060158 time=581.74s
tensorized | epoch 79 | top1=0.1797 top2=0.2427 top3=0.2817 top4=0.3105 top5=0.3338 loss=0.059894 time=581.56s
tensorized | epoch 80 | top1=0.1799 top2=0.2422 top3=0.2818 top4=0.3114 top5=0.3349 loss=0.059845 time=581.32s
tensorized | epoch 81 | top1=0.1818 top2=0.2439 top3=0.2839 top4=0.3132 top5=0.3368 loss=0.059830 time=582.11s
tensorized | epoch 82 | top1=0.1757 top2=0.2356 top3=0.2750 top4=0.3036 top5=0.3273 loss=0.059757 time=581.78s
tensorized | epoch 83 | top1=0.1892 top2=0.2542 top3=0.2947 top4=0.3243 top5=0.3476 loss=0.059342 time=582.24s
tensorized | epoch 84 | top1=0.1955 top2=0.2606 top3=0.3011 top4=0.3312 top5=0.3546 loss=0.059430 time=582.16s
tensorized | epoch 85 | top1=0.1878 top2=0.2518 top3=0.2910 top4=0.3210 top5=0.3449 loss=0.059746 time=582.54s
tensorized | epoch 86 | top1=0.1958 top2=0.2605 top3=0.3016 top4=0.3308 top5=0.3554 loss=0.058917 time=580.14s
tensorized | epoch 87 | top1=0.1913 top2=0.2550 top3=0.2945 top4=0.3239 top5=0.3475 loss=0.058915 time=581.49s
tensorized | epoch 88 | top1=0.1905 top2=0.2543 top3=0.2948 top4=0.3229 top5=0.3466 loss=0.058802 time=581.10s
tensorized | epoch 89 | top1=0.1981 top2=0.2631 top3=0.3035 top4=0.3343 top5=0.3586 loss=0.059052 time=581.42s
