tensor | epoch 1 | top1=0.0051 top2=0.0103 top3=0.0152 top4=0.0205 top5=0.0257 loss=0.169848 time=696.81s
tensor | epoch 2 | top1=0.0053 top2=0.0104 top3=0.0150 top4=0.0202 top5=0.0253 loss=0.165880 time=621.85s
tensor | epoch 3 | top1=0.0073 top2=0.0143 top3=0.0205 top4=0.0273 top5=0.0339 loss=0.164914 time=630.33s
tensor | epoch 4 | top1=0.0094 top2=0.0176 top3=0.0257 top4=0.0334 top5=0.0411 loss=0.163907 time=630.27s
tensor | epoch 5 | top1=0.0109 top2=0.0204 top3=0.0299 top4=0.0389 top5=0.0473 loss=0.163193 time=630.21s
tensor | epoch 6 | top1=0.0130 top2=0.0246 top3=0.0348 top4=0.0447 top5=0.0542 loss=0.162316 time=630.12s
tensor | epoch 7 | top1=0.0164 top2=0.0308 top3=0.0436 top4=0.0554 top5=0.0667 loss=0.160630 time=630.24s
tensor | epoch 8 | top1=0.0248 top2=0.0450 top3=0.0625 top4=0.0770 top5=0.0913 loss=0.157664 time=630.19s
tensor | epoch 9 | top1=0.0353 top2=0.0612 top3=0.0815 top4=0.1003 top5=0.1174 loss=0.154443 time=630.22s
tensor | epoch 10 | top1=0.0440 top2=0.0736 top3=0.0977 top4=0.1186 top5=0.1375 loss=0.150823 time=630.36s
tensor | epoch 11 | top1=0.0584 top2=0.0939 top3=0.1221 top4=0.1454 top5=0.1664 loss=0.146845 time=630.17s
tensor | epoch 12 | top1=0.0710 top2=0.1131 top3=0.1449 top4=0.1703 top5=0.1926 loss=0.143614 time=630.06s
tensor | epoch 13 | top1=0.0841 top2=0.1288 top3=0.1609 top4=0.1885 top5=0.2114 loss=0.140606 time=629.95s
tensor | epoch 14 | top1=0.0973 top2=0.1449 top3=0.1805 top4=0.2091 top5=0.2333 loss=0.138100 time=629.86s
tensor | epoch 15 | top1=0.1042 top2=0.1548 top3=0.1903 top4=0.2179 top5=0.2425 loss=0.136443 time=630.03s
tensor | epoch 16 | top1=0.1132 top2=0.1665 top3=0.2033 top4=0.2329 top5=0.2574 loss=0.134739 time=629.94s
tensor | epoch 17 | top1=0.1164 top2=0.1711 top3=0.2089 top4=0.2368 top5=0.2612 loss=0.133291 time=629.99s
tensor | epoch 18 | top1=0.1232 top2=0.1796 top3=0.2171 top4=0.2459 top5=0.2705 loss=0.132458 time=629.76s
tensor | epoch 19 | top1=0.1288 top2=0.1841 top3=0.2219 top4=0.2524 top5=0.2768 loss=0.131404 time=630.14s
tensor | epoch 20 | top1=0.1300 top2=0.1853 top3=0.2229 top4=0.2528 top5=0.2773 loss=0.130458 time=630.12s
tensor | epoch 21 | top1=0.1351 top2=0.1921 top3=0.2294 top4=0.2589 top5=0.2832 loss=0.129316 time=630.05s
tensor | epoch 22 | top1=0.1395 top2=0.1965 top3=0.2353 top4=0.2639 top5=0.2868 loss=0.128749 time=630.08s
tensor | epoch 23 | top1=0.1427 top2=0.2006 top3=0.2389 top4=0.2682 top5=0.2931 loss=0.128040 time=630.19s
tensor | epoch 24 | top1=0.1469 top2=0.2059 top3=0.2460 top4=0.2761 top5=0.2998 loss=0.127231 time=630.04s
tensor | epoch 25 | top1=0.1502 top2=0.2109 top3=0.2512 top4=0.2811 top5=0.3060 loss=0.127057 time=629.91s
tensor | epoch 26 | top1=0.1481 top2=0.2074 top3=0.2458 top4=0.2759 top5=0.3000 loss=0.126353 time=629.95s
tensor | epoch 27 | top1=0.1613 top2=0.2224 top3=0.2629 top4=0.2938 top5=0.3192 loss=0.125637 time=630.06s
tensor | epoch 28 | top1=0.1578 top2=0.2192 top3=0.2583 top4=0.2886 top5=0.3127 loss=0.125289 time=629.95s
tensor | epoch 29 | top1=0.1554 top2=0.2165 top3=0.2545 top4=0.2840 top5=0.3087 loss=0.125467 time=630.01s
tensor | epoch 30 | top1=0.1586 top2=0.2195 top3=0.2576 top4=0.2882 top5=0.3124 loss=0.124290 time=629.69s
tensor | epoch 31 | top1=0.1607 top2=0.2217 top3=0.2617 top4=0.2908 top5=0.3144 loss=0.123608 time=629.95s
tensor | epoch 32 | top1=0.1596 top2=0.2200 top3=0.2597 top4=0.2907 top5=0.3146 loss=0.123304 time=630.04s
tensor | epoch 33 | top1=0.1683 top2=0.2304 top3=0.2693 top4=0.2994 top5=0.3234 loss=0.122740 time=630.25s
tensor | epoch 34 | top1=0.1716 top2=0.2352 top3=0.2763 top4=0.3062 top5=0.3306 loss=0.122546 time=630.00s
tensor | epoch 35 | top1=0.1715 top2=0.2351 top3=0.2744 top4=0.3039 top5=0.3285 loss=0.122693 time=629.83s
tensor | epoch 36 | top1=0.1739 top2=0.2372 top3=0.2783 top4=0.3075 top5=0.3316 loss=0.122454 time=629.76s
tensor | epoch 37 | top1=0.1746 top2=0.2388 top3=0.2788 top4=0.3089 top5=0.3331 loss=0.121722 time=629.91s
tensor | epoch 38 | top1=0.1762 top2=0.2400 top3=0.2804 top4=0.3101 top5=0.3340 loss=0.122043 time=630.03s
tensor | epoch 39 | top1=0.1790 top2=0.2421 top3=0.2822 top4=0.3128 top5=0.3358 loss=0.120563 time=629.83s
tensor | epoch 40 | top1=0.1748 top2=0.2371 top3=0.2778 top4=0.3070 top5=0.3315 loss=0.120667 time=629.86s
tensor | epoch 41 | top1=0.1804 top2=0.2440 top3=0.2838 top4=0.3139 top5=0.3374 loss=0.120137 time=630.06s
tensor | epoch 42 | top1=0.1840 top2=0.2494 top3=0.2894 top4=0.3192 top5=0.3429 loss=0.119862 time=630.00s
tensor | epoch 43 | top1=0.1863 top2=0.2511 top3=0.2913 top4=0.3226 top5=0.3465 loss=0.119695 time=629.89s
tensor | epoch 44 | top1=0.1831 top2=0.2461 top3=0.2862 top4=0.3154 top5=0.3394 loss=0.119163 time=629.63s
tensor | epoch 45 | top1=0.1801 top2=0.2430 top3=0.2834 top4=0.3122 top5=0.3351 loss=0.119569 time=629.78s
tensor | epoch 46 | top1=0.1852 top2=0.2490 top3=0.2885 top4=0.3177 top5=0.3419 loss=0.118217 time=630.25s
tensor | epoch 47 | top1=0.1845 top2=0.2489 top3=0.2892 top4=0.3178 top5=0.3407 loss=0.118005 time=637.33s
tensor | epoch 48 | top1=0.1938 top2=0.2575 top3=0.2974 top4=0.3265 top5=0.3493 loss=0.117857 time=630.74s
tensor | epoch 49 | top1=0.1929 top2=0.2577 top3=0.2982 top4=0.3266 top5=0.3495 loss=0.117528 time=646.35s
tensor | epoch 50 | top1=0.1975 top2=0.2611 top3=0.3014 top4=0.3310 top5=0.3545 loss=0.117195 time=654.53s
tensor | epoch 51 | top1=0.1961 top2=0.2616 top3=0.3025 top4=0.3317 top5=0.3559 loss=0.117743 time=628.41s
tensor | epoch 52 | top1=0.1999 top2=0.2656 top3=0.3070 top4=0.3364 top5=0.3601 loss=0.117056 time=628.30s
tensor | epoch 53 | top1=0.2002 top2=0.2653 top3=0.3061 top4=0.3353 top5=0.3592 loss=0.116054 time=629.30s
tensor | epoch 54 | top1=0.2008 top2=0.2656 top3=0.3055 top4=0.3353 top5=0.3578 loss=0.116200 time=628.44s
tensor | epoch 55 | top1=0.2013 top2=0.2655 top3=0.3056 top4=0.3350 top5=0.3585 loss=0.115633 time=628.97s
tensor | epoch 56 | top1=0.1992 top2=0.2639 top3=0.3036 top4=0.3311 top5=0.3532 loss=0.115434 time=628.97s
tensor | epoch 57 | top1=0.2050 top2=0.2694 top3=0.3087 top4=0.3377 top5=0.3607 loss=0.115637 time=628.86s
tensor | epoch 58 | top1=0.2085 top2=0.2752 top3=0.3150 top4=0.3447 top5=0.3678 loss=0.114149 time=628.81s
tensor | epoch 59 | top1=0.2043 top2=0.2702 top3=0.3106 top4=0.3384 top5=0.3612 loss=0.114952 time=629.15s
tensor | epoch 60 | top1=0.2162 top2=0.2834 top3=0.3239 top4=0.3535 top5=0.3771 loss=0.114738 time=629.08s
tensor | epoch 61 | top1=0.2084 top2=0.2753 top3=0.3152 top4=0.3435 top5=0.3668 loss=0.114223 time=628.91s
tensor | epoch 62 | top1=0.2196 top2=0.2872 top3=0.3272 top4=0.3557 top5=0.3794 loss=0.113589 time=628.96s
tensor | epoch 63 | top1=0.2199 top2=0.2859 top3=0.3261 top4=0.3550 top5=0.3778 loss=0.113694 time=628.56s
tensor | epoch 64 | top1=0.2139 top2=0.2803 top3=0.3207 top4=0.3498 top5=0.3727 loss=0.113799 time=628.76s
tensor | epoch 65 | top1=0.2198 top2=0.2869 top3=0.3266 top4=0.3547 top5=0.3771 loss=0.113103 time=628.43s
tensor | epoch 66 | top1=0.2189 top2=0.2859 top3=0.3262 top4=0.3548 top5=0.3784 loss=0.112982 time=628.67s
tensor | epoch 67 | top1=0.2141 top2=0.2818 top3=0.3199 top4=0.3489 top5=0.3710 loss=0.112916 time=628.77s
tensor | epoch 68 | top1=0.2302 top2=0.2999 top3=0.3407 top4=0.3695 top5=0.3934 loss=0.112948 time=628.40s
tensor | epoch 69 | top1=0.2198 top2=0.2870 top3=0.3270 top4=0.3554 top5=0.3775 loss=0.112395 time=628.51s
tensor | epoch 70 | top1=0.2243 top2=0.2931 top3=0.3321 top4=0.3602 top5=0.3825 loss=0.112326 time=629.08s
tensor | epoch 71 | top1=0.2285 top2=0.2979 top3=0.3393 top4=0.3685 top5=0.3920 loss=0.112112 time=628.68s
tensor | epoch 72 | top1=0.2224 top2=0.2892 top3=0.3288 top4=0.3570 top5=0.3792 loss=0.111731 time=628.38s
tensor | epoch 73 | top1=0.2264 top2=0.2942 top3=0.3334 top4=0.3620 top5=0.3835 loss=0.110516 time=628.65s
tensor | epoch 74 | top1=0.2367 top2=0.3063 top3=0.3470 top4=0.3746 top5=0.3979 loss=0.110653 time=628.29s
tensor | epoch 75 | top1=0.2308 top2=0.2976 top3=0.3381 top4=0.3662 top5=0.3887 loss=0.110330 time=628.42s
tensor | epoch 76 | top1=0.2401 top2=0.3098 top3=0.3506 top4=0.3792 top5=0.4010 loss=0.109987 time=628.64s
tensor | epoch 77 | top1=0.2306 top2=0.2978 top3=0.3372 top4=0.3645 top5=0.3859 loss=0.109748 time=628.46s
tensor | epoch 78 | top1=0.2331 top2=0.2990 top3=0.3382 top4=0.3660 top5=0.3877 loss=0.108672 time=628.82s
tensor | epoch 79 | top1=0.2375 top2=0.3054 top3=0.3445 top4=0.3724 top5=0.3940 loss=0.109537 time=628.60s
tensor | epoch 80 | top1=0.2380 top2=0.3059 top3=0.3447 top4=0.3730 top5=0.3962 loss=0.108987 time=628.69s
tensor | epoch 81 | top1=0.2472 top2=0.3159 top3=0.3553 top4=0.3834 top5=0.4052 loss=0.108868 time=628.37s
tensor | epoch 82 | top1=0.2424 top2=0.3104 top3=0.3498 top4=0.3774 top5=0.4001 loss=0.109045 time=628.28s
tensor | epoch 83 | top1=0.2510 top2=0.3200 top3=0.3594 top4=0.3879 top5=0.4098 loss=0.108012 time=628.31s
