tensorized | epoch 1 | top1=0.0050 top2=0.0100 top3=0.0150 top4=0.0200 top5=0.0250 loss=0.085423 time=577.37s
tensorized | epoch 2 | top1=0.0046 top2=0.0089 top3=0.0137 top4=0.0182 top5=0.0232 loss=0.083568 time=575.23s
tensorized | epoch 3 | top1=0.0045 top2=0.0093 top3=0.0140 top4=0.0183 top5=0.0232 loss=0.082857 time=575.55s
tensorized | epoch 4 | top1=0.0046 top2=0.0093 top3=0.0138 top4=0.0185 top5=0.0233 loss=0.082872 time=575.19s
tensorized | epoch 5 | top1=0.0047 top2=0.0094 top3=0.0141 top4=0.0188 top5=0.0235 loss=0.082880 time=575.43s
tensorized | epoch 6 | top1=0.0067 top2=0.0130 top3=0.0187 top4=0.0244 top5=0.0300 loss=0.082597 time=574.90s
tensorized | epoch 7 | top1=0.0091 top2=0.0174 top3=0.0260 top4=0.0337 top5=0.0418 loss=0.081761 time=574.82s
tensorized | epoch 8 | top1=0.0127 top2=0.0243 top3=0.0350 top4=0.0446 top5=0.0539 loss=0.081037 time=574.62s
tensorized | epoch 9 | top1=0.0172 top2=0.0311 top3=0.0449 top4=0.0579 top5=0.0696 loss=0.080202 time=574.73s
tensorized | epoch 10 | top1=0.0203 top2=0.0366 top3=0.0517 top4=0.0655 top5=0.0779 loss=0.079619 time=574.67s
tensorized | epoch 11 | top1=0.0244 top2=0.0435 top3=0.0597 top4=0.0749 top5=0.0880 loss=0.079074 time=574.80s
tensorized | epoch 12 | top1=0.0270 top2=0.0483 top3=0.0658 top4=0.0816 top5=0.0959 loss=0.078549 time=574.93s
tensorized | epoch 13 | top1=0.0293 top2=0.0521 top3=0.0700 top4=0.0863 top5=0.1009 loss=0.078244 time=575.82s
tensorized | epoch 14 | top1=0.0337 top2=0.0579 top3=0.0785 top4=0.0958 top5=0.1126 loss=0.077880 time=577.93s
tensorized | epoch 15 | top1=0.0362 top2=0.0620 top3=0.0825 top4=0.1002 top5=0.1165 loss=0.077507 time=575.26s
tensorized | epoch 16 | top1=0.0382 top2=0.0636 top3=0.0846 top4=0.1029 top5=0.1191 loss=0.077309 time=575.97s
tensorized | epoch 17 | top1=0.0389 top2=0.0639 top3=0.0846 top4=0.1022 top5=0.1187 loss=0.077007 time=574.71s
tensorized | epoch 18 | top1=0.0416 top2=0.0687 top3=0.0906 top4=0.1094 top5=0.1258 loss=0.076639 time=574.28s
tensorized | epoch 19 | top1=0.0438 top2=0.0727 top3=0.0954 top4=0.1143 top5=0.1315 loss=0.076403 time=575.26s
tensorized | epoch 20 | top1=0.0464 top2=0.0748 top3=0.0966 top4=0.1165 top5=0.1342 loss=0.076298 time=576.20s
tensorized | epoch 21 | top1=0.0469 top2=0.0755 top3=0.0986 top4=0.1183 top5=0.1358 loss=0.075931 time=604.94s
tensorized | epoch 22 | top1=0.0488 top2=0.0797 top3=0.1036 top4=0.1245 top5=0.1424 loss=0.075848 time=597.07s
tensorized | epoch 23 | top1=0.0531 top2=0.0845 top3=0.1095 top4=0.1301 top5=0.1486 loss=0.075560 time=581.56s
tensorized | epoch 24 | top1=0.0523 top2=0.0844 top3=0.1095 top4=0.1306 top5=0.1489 loss=0.075160 time=574.81s
tensorized | epoch 25 | top1=0.0567 top2=0.0902 top3=0.1154 top4=0.1369 top5=0.1558 loss=0.074767 time=575.37s
tensorized | epoch 26 | top1=0.0584 top2=0.0929 top3=0.1188 top4=0.1414 top5=0.1613 loss=0.074461 time=575.87s
tensorized | epoch 27 | top1=0.0605 top2=0.0948 top3=0.1220 top4=0.1448 top5=0.1643 loss=0.074005 time=575.48s
tensorized | epoch 28 | top1=0.0608 top2=0.0952 top3=0.1213 top4=0.1432 top5=0.1632 loss=0.073913 time=575.96s
