tensorized | epoch 1 | top1=0.0050 top2=0.0100 top3=0.0150 top4=0.0200 top5=0.0250 loss=0.085193 time=582.44s
tensorized | epoch 2 | top1=0.0046 top2=0.0092 top3=0.0139 top4=0.0186 top5=0.0231 loss=0.083019 time=575.51s
tensorized | epoch 3 | top1=0.0047 top2=0.0093 top3=0.0141 top4=0.0187 top5=0.0236 loss=0.082872 time=575.57s
tensorized | epoch 4 | top1=0.0045 top2=0.0093 top3=0.0139 top4=0.0188 top5=0.0238 loss=0.082885 time=575.47s
tensorized | epoch 5 | top1=0.0084 top2=0.0166 top3=0.0245 top4=0.0318 top5=0.0388 loss=0.082085 time=575.10s
tensorized | epoch 6 | top1=0.0162 top2=0.0309 top3=0.0440 top4=0.0558 top5=0.0673 loss=0.080238 time=576.25s
tensorized | epoch 7 | top1=0.0207 top2=0.0381 top3=0.0538 top4=0.0678 top5=0.0812 loss=0.079494 time=575.78s
tensorized | epoch 8 | top1=0.0266 top2=0.0459 top3=0.0632 top4=0.0794 top5=0.0942 loss=0.078690 time=575.85s
tensorized | epoch 9 | top1=0.0303 top2=0.0523 top3=0.0704 top4=0.0869 top5=0.1021 loss=0.078090 time=575.76s
tensorized | epoch 10 | top1=0.0359 top2=0.0608 top3=0.0806 top4=0.0977 top5=0.1134 loss=0.077499 time=575.58s
tensorized | epoch 11 | top1=0.0393 top2=0.0650 top3=0.0860 top4=0.1047 top5=0.1216 loss=0.077140 time=575.82s
tensorized | epoch 12 | top1=0.0428 top2=0.0706 top3=0.0927 top4=0.1114 top5=0.1286 loss=0.076571 time=575.73s
tensorized | epoch 13 | top1=0.0458 top2=0.0745 top3=0.0969 top4=0.1165 top5=0.1336 loss=0.076062 time=575.69s
tensorized | epoch 14 | top1=0.0502 top2=0.0807 top3=0.1053 top4=0.1263 top5=0.1454 loss=0.075560 time=575.44s
tensorized | epoch 15 | top1=0.0514 top2=0.0827 top3=0.1073 top4=0.1277 top5=0.1459 loss=0.074919 time=575.20s
tensorized | epoch 16 | top1=0.0578 top2=0.0919 top3=0.1191 top4=0.1409 top5=0.1605 loss=0.074181 time=576.01s
tensorized | epoch 17 | top1=0.0647 top2=0.1017 top3=0.1290 top4=0.1518 top5=0.1731 loss=0.073430 time=575.48s
tensorized | epoch 18 | top1=0.0694 top2=0.1088 top3=0.1385 top4=0.1636 top5=0.1845 loss=0.072631 time=575.49s
tensorized | epoch 19 | top1=0.0696 top2=0.1086 top3=0.1376 top4=0.1616 top5=0.1825 loss=0.072367 time=575.47s
tensorized | epoch 20 | top1=0.0780 top2=0.1196 top3=0.1507 top4=0.1765 top5=0.1984 loss=0.071671 time=575.85s
tensorized | epoch 21 | top1=0.0801 top2=0.1225 top3=0.1525 top4=0.1778 top5=0.1998 loss=0.071109 time=575.88s
tensorized | epoch 22 | top1=0.0841 top2=0.1286 top3=0.1605 top4=0.1865 top5=0.2093 loss=0.070898 time=575.19s
tensorized | epoch 23 | top1=0.0845 top2=0.1283 top3=0.1606 top4=0.1861 top5=0.2088 loss=0.070659 time=575.62s
tensorized | epoch 24 | top1=0.0851 top2=0.1281 top3=0.1595 top4=0.1846 top5=0.2066 loss=0.070012 time=575.20s
tensorized | epoch 25 | top1=0.0928 top2=0.1380 top3=0.1712 top4=0.1985 top5=0.2214 loss=0.069680 time=575.19s
tensorized | epoch 26 | top1=0.0994 top2=0.1474 top3=0.1827 top4=0.2106 top5=0.2336 loss=0.069487 time=575.35s
tensorized | epoch 27 | top1=0.0993 top2=0.1469 top3=0.1813 top4=0.2088 top5=0.2318 loss=0.069196 time=575.19s
tensorized | epoch 28 | top1=0.1034 top2=0.1533 top3=0.1882 top4=0.2168 top5=0.2411 loss=0.068890 time=575.47s
tensorized | epoch 29 | top1=0.1047 top2=0.1540 top3=0.1887 top4=0.2170 top5=0.2410 loss=0.068722 time=575.40s
tensorized | epoch 30 | top1=0.1042 top2=0.1547 top3=0.1901 top4=0.2180 top5=0.2420 loss=0.068036 time=575.93s
tensorized | epoch 31 | top1=0.1044 top2=0.1525 top3=0.1874 top4=0.2146 top5=0.2377 loss=0.068154 time=575.23s
tensorized | epoch 32 | top1=0.1091 top2=0.1612 top3=0.1967 top4=0.2262 top5=0.2502 loss=0.067955 time=575.83s
tensorized | epoch 33 | top1=0.1131 top2=0.1654 top3=0.2017 top4=0.2299 top5=0.2536 loss=0.067415 time=575.09s
tensorized | epoch 34 | top1=0.1109 top2=0.1628 top3=0.1975 top4=0.2259 top5=0.2504 loss=0.067633 time=575.64s
tensorized | epoch 35 | top1=0.1131 top2=0.1652 top3=0.2010 top4=0.2291 top5=0.2529 loss=0.067190 time=575.25s
tensorized | epoch 36 | top1=0.1176 top2=0.1697 top3=0.2066 top4=0.2342 top5=0.2585 loss=0.066827 time=576.08s
tensorized | epoch 37 | top1=0.1217 top2=0.1749 top3=0.2120 top4=0.2414 top5=0.2660 loss=0.066816 time=575.78s
tensorized | epoch 38 | top1=0.1206 top2=0.1742 top3=0.2111 top4=0.2399 top5=0.2638 loss=0.066367 time=576.24s
tensorized | epoch 39 | top1=0.1240 top2=0.1778 top3=0.2152 top4=0.2442 top5=0.2681 loss=0.066267 time=575.28s
tensorized | epoch 40 | top1=0.1263 top2=0.1794 top3=0.2165 top4=0.2453 top5=0.2694 loss=0.065937 time=575.23s
tensorized | epoch 41 | top1=0.1309 top2=0.1865 top3=0.2246 top4=0.2528 top5=0.2776 loss=0.065477 time=574.94s
tensorized | epoch 42 | top1=0.1264 top2=0.1804 top3=0.2170 top4=0.2456 top5=0.2697 loss=0.065449 time=574.99s
tensorized | epoch 43 | top1=0.1208 top2=0.1733 top3=0.2086 top4=0.2358 top5=0.2587 loss=0.065341 time=575.49s
