Train epoch 34: top1=0.3931399881839752%, top2=0.6090599894523621%, top3=0.7369399666786194%, top4=0.8241199851036072%, top5=0.8839199542999268%, loss=0.05208936096668244, time=513.8762872219086s
Train epoch 35: top1=0.40206000208854675%, top2=0.6178399920463562%, top3=0.7426599860191345%, top4=0.8285399675369263%, top5=0.8884799480438232%, loss=0.05145256679058075, time=514.0486845970154s
Train epoch 36: top1=0.4074600040912628%, top2=0.6239199638366699%, top3=0.7483199834823608%, top4=0.8335599899291992%, top5=0.8928200006484985%, loss=0.05079935589075089, time=514.6944406032562s
Train epoch 37: top1=0.4165000021457672%, top2=0.6326000094413757%, top3=0.7582399845123291%, top4=0.8431199789047241%, top5=0.8989199995994568%, loss=0.04995679782152176, time=513.6801364421844s
Train epoch 38: top1=0.4083399772644043%, top2=0.6238399744033813%, top3=0.750220000743866%, top4=0.8337399959564209%, top5=0.8910199999809265%, loss=0.05083642887115478, time=514.3590397834778s
Train epoch 39: top1=0.4183200001716614%, top2=0.6359399557113647%, top3=0.7604799866676331%, top4=0.8445799946784973%, top5=0.8991400003433228%, loss=0.04984746905326843, time=515.3978097438812s
Train epoch 40: top1=0.41449999809265137%, top2=0.6312599778175354%, top3=0.7572599649429321%, top4=0.8420199751853943%, top5=0.895859956741333%, loss=0.05019931806564331, time=514.6302373409271s
Train epoch 41: top1=0.3951599895954132%, top2=0.6131600141525269%, top3=0.7430599927902222%, top4=0.8286599516868591%, top5=0.8884599804878235%, loss=0.05165466013431549, time=514.2892773151398s
Train epoch 42: top1=0.41944000124931335%, top2=0.634939968585968%, top3=0.7633799910545349%, top4=0.8459199666976929%, top5=0.9024999737739563%, loss=0.04966284031629562, time=514.1131942272186s
Train epoch 43: top1=0.4262399971485138%, top2=0.6450200080871582%, top3=0.7690799832344055%, top4=0.8481400012969971%, top5=0.9021199941635132%, loss=0.04916557091355324, time=514.792293548584s
Train epoch 44: top1=0.4003799855709076%, top2=0.61763995885849%, top3=0.7470399737358093%, top4=0.8329399824142456%, top5=0.8906999826431274%, loss=0.05114923148393631, time=515.0078604221344s
Train epoch 45: top1=0.407399982213974%, top2=0.6261599659919739%, top3=0.7542399764060974%, top4=0.8390600085258484%, top5=0.895799994468689%, loss=0.050507355184555056, time=515.0622386932373s
Train epoch 46: top1=0.41679999232292175%, top2=0.6330400109291077%, top3=0.7606599926948547%, top4=0.8430599570274353%, top5=0.8983799815177917%, loss=0.049882132725715636, time=515.025084733963s
Train epoch 47: top1=0.4305199980735779%, top2=0.6428999900817871%, top3=0.7681199908256531%, top4=0.850059986114502%, top5=0.9039799571037292%, loss=0.0490336407828331, time=515.5213565826416s
Train epoch 48: top1=0.4151400029659271%, top2=0.6303600072860718%, top3=0.7575799822807312%, top4=0.8416599631309509%, top5=0.8972199559211731%, loss=0.05015339235544205, time=514.6788454055786s
Train epoch 49: top1=0.42333999276161194%, top2=0.6426399946212769%, top3=0.7656999826431274%, top4=0.8476399779319763%, top5=0.9015399813652039%, loss=0.04930112664461136, time=515.5110123157501s
Train epoch 50: top1=0.4372600018978119%, top2=0.6536399722099304%, top3=0.7750799655914307%, top4=0.8557599782943726%, top5=0.9084599614143372%, loss=0.048453017168045044, time=515.546236038208s
Train epoch 51: top1=0.4079200029373169%, top2=0.6240999698638916%, top3=0.7530999779701233%, top4=0.837939977645874%, top5=0.8928200006484985%, loss=0.05065918788433075, time=515.0911128520966s
Train epoch 52: top1=0.4337399899959564%, top2=0.6505599617958069%, top3=0.774459958076477%, top4=0.8549999594688416%, top5=0.9081400036811829%, loss=0.04868519572377205, time=514.5699367523193s
Train epoch 53: top1=0.44336000084877014%, top2=0.6576399803161621%, top3=0.7775599956512451%, top4=0.858739972114563%, top5=0.9102399945259094%, loss=0.047913314082622525, time=514.8353912830353s
Train epoch 54: top1=0.4485799968242645%, top2=0.6656999588012695%, top3=0.7852599620819092%, top4=0.8614799976348877%, top5=0.913599967956543%, loss=0.04740466228961945, time=513.6464416980743s
Train epoch 55: top1=0.4403199851512909%, top2=0.6566999554634094%, top3=0.7776199579238892%, top4=0.8555399775505066%, top5=0.9060999751091003%, loss=0.048220100355148315, time=514.537312746048s
Train epoch 56: top1=0.434939980506897%, top2=0.6471399664878845%, top3=0.7720400094985962%, top4=0.8537799715995789%, top5=0.9045999646186829%, loss=0.04863733571529388, time=514.7428863048553s
Train epoch 57: top1=0.4310399889945984%, top2=0.6474999785423279%, top3=0.7729199528694153%, top4=0.8534199595451355%, top5=0.9043599963188171%, loss=0.049014679415225984, time=514.9988327026367s
Train epoch 58: top1=0.41043999791145325%, top2=0.6274799704551697%, top3=0.7547199726104736%, top4=0.8416599631309509%, top5=0.8971399664878845%, loss=0.05040450362443924, time=514.3147821426392s
Train epoch 59: top1=0.4273200035095215%, top2=0.6444799900054932%, top3=0.7707799673080444%, top4=0.850879967212677%, top5=0.9056599736213684%, loss=0.04906755186319351, time=513.4696338176727s
Train epoch 60: top1=0.43887999653816223%, top2=0.6543999910354614%, top3=0.7765199542045593%, top4=0.8530799746513367%, top5=0.9056199789047241%, loss=0.04853147794008255, time=513.8621785640717s
Train epoch 61: top1=0.4393399953842163%, top2=0.6564199924468994%, top3=0.7793999910354614%, top4=0.8563399910926819%, top5=0.9082599878311157%, loss=0.04820646863937378, time=513.9299871921539s
Train epoch 62: top1=0.4461599886417389%, top2=0.6603400111198425%, top3=0.7841999530792236%, top4=0.8598799705505371%, top5=0.9111999869346619%, loss=0.047604023263454434, time=514.43279337883s
Train epoch 63: top1=0.4452199935913086%, top2=0.6621599793434143%, top3=0.7833600044250488%, top4=0.8611800074577332%, top5=0.9127199649810791%, loss=0.04765378944158554, time=514.7188355922699s
Train epoch 64: top1=0.45447999238967896%, top2=0.6662200093269348%, top3=0.7876999974250793%, top4=0.8644799590110779%, top5=0.913379967212677%, loss=0.04716120834708214, time=514.8863527774811s
Train epoch 65: top1=0.4489799737930298%, top2=0.6634399890899658%, top3=0.7827399969100952%, top4=0.85971999168396%, top5=0.9113999605178833%, loss=0.04754793329000473, time=514.7985758781433s
Train epoch 66: top1=0.4545999765396118%, top2=0.6690799593925476%, top3=0.7877199649810791%, top4=0.8641999959945679%, top5=0.9125399589538574%, loss=0.04702969379663467, time=513.820298910141s
Train epoch 67: top1=0.4625599980354309%, top2=0.6733199954032898%, top3=0.792140007019043%, top4=0.8655399680137634%, top5=0.9153800010681152%, loss=0.04651784125566483, time=514.4755597114563s
Train epoch 68: top1=0.4597799777984619%, top2=0.6704599857330322%, top3=0.7894399762153625%, top4=0.8648399710655212%, top5=0.9128999710083008%, loss=0.04684036293268204, time=514.5047504901886s
Train epoch 69: top1=0.46592000126838684%, top2=0.6770199537277222%, top3=0.7931199669837952%, top4=0.8704999685287476%, top5=0.9166199564933777%, loss=0.04629415003180504, time=514.2426657676697s
Train epoch 70: top1=0.47613999247550964%, top2=0.6848999857902527%, top3=0.7981599569320679%, top4=0.8724799752235413%, top5=0.9201799631118774%, loss=0.045554456100463867, time=513.7464907169342s
Train epoch 71: top1=0.464819997549057%, top2=0.6739400029182434%, top3=0.7906000018119812%, top4=0.86735999584198%, top5=0.9168399572372437%, loss=0.0463896477496624, time=513.6813371181488s
Train epoch 72: top1=0.47091999650001526%, top2=0.6814000010490417%, top3=0.7963199615478516%, top4=0.8688199520111084%, top5=0.9167999625205994%, loss=0.04602625050783157, time=514.3767166137695s
Train epoch 73: top1=0.46271997690200806%, top2=0.6712999939918518%, top3=0.7890399694442749%, top4=0.8635799884796143%, top5=0.9120799899101257%, loss=0.04672561031937599, time=513.6740634441376s
Train epoch 74: top1=0.4787199795246124%, top2=0.6903600096702576%, top3=0.8050000071525574%, top4=0.8776999711990356%, top5=0.9221799969673157%, loss=0.04508584379434585, time=514.1490647792816s
Train epoch 75: top1=0.4741799831390381%, top2=0.6846599578857422%, top3=0.7996000051498413%, top4=0.8718999624252319%, top5=0.9186999797821045%, loss=0.04556011792421341, time=514.1214838027954s
Train epoch 76: top1=0.47919997572898865%, top2=0.6909199953079224%, top3=0.8036999702453613%, top4=0.8751199841499329%, top5=0.9204999804496765%, loss=0.04523480253219604, time=513.8081583976746s
Train epoch 77: top1=0.4849199950695038%, top2=0.6944400072097778%, top3=0.8075399994850159%, top4=0.878600001335144%, top5=0.9234399795532227%, loss=0.04476817508220673, time=513.6393291950226s
Train epoch 78: top1=0.4908199906349182%, top2=0.7012199759483337%, top3=0.8137199878692627%, top4=0.8829399943351746%, top5=0.9272599816322327%, loss=0.044129658049345016, time=514.2927150726318s
Train epoch 79: top1=0.4938199818134308%, top2=0.7014200091362%, top3=0.8146399855613708%, top4=0.8842200040817261%, top5=0.9290799498558044%, loss=0.043949969261884686, time=514.3159892559052s
Train epoch 80: top1=0.495199978351593%, top2=0.7033999562263489%, top3=0.8145599961280823%, top4=0.8825599551200867%, top5=0.9272799491882324%, loss=0.0438334194457531, time=514.3813197612762s
