Train epoch 61: top1=0.9659833312034607%, top2=0.9915400147438049%, top3=0.9964433312416077%, top4=0.998146653175354%, top5=0.9988899827003479%, loss=0.10551559573384883, time=1679.7796730995178s
Train epoch 62: top1=0.9671666622161865%, top2=0.9918233156204224%, top3=0.9967666864395142%, top4=0.9983299970626831%, top5=0.9989666938781738%, loss=0.10289018310155718, time=1682.3105673789978s
Train epoch 63: top1=0.9666799902915955%, top2=0.9918699860572815%, top3=0.99659663438797%, top4=0.9983066916465759%, top5=0.9990333318710327%, loss=0.10293443271780622, time=1681.4718887805939s
Train epoch 64: top1=0.9681666493415833%, top2=0.992003321647644%, top3=0.9967333078384399%, top4=0.998313307762146%, top5=0.9990133047103882%, loss=0.10058433105587028, time=1681.872489452362s
Train epoch 65: top1=0.9680799841880798%, top2=0.9922866821289062%, top3=0.996856689453125%, top4=0.9982766509056091%, top5=0.9989833235740662%, loss=0.09835349509480398, time=1682.9288425445557s
Train epoch 66: top1=0.9688233137130737%, top2=0.9925566911697388%, top3=0.997023344039917%, top4=0.9984333515167236%, top5=0.9990699887275696%, loss=0.09654123031971508, time=1682.6112105846405s
Train epoch 67: top1=0.9696000218391418%, top2=0.9927666783332825%, top3=0.9970600008964539%, top4=0.9984733462333679%, top5=0.999156653881073%, loss=0.09415090184111653, time=1683.209941625595s
Train epoch 68: top1=0.970300018787384%, top2=0.9927566647529602%, top3=0.9971566796302795%, top4=0.9986133575439453%, top5=0.9992466568946838%, loss=0.09198799380635164, time=1683.7554154396057s
Train epoch 69: top1=0.9705233573913574%, top2=0.9930433034896851%, top3=0.9971766471862793%, top4=0.9985633492469788%, top5=0.9991400241851807%, loss=0.09066854677018638, time=1683.1172759532928s
Train epoch 70: top1=0.9709100127220154%, top2=0.9930033087730408%, top3=0.9970899820327759%, top4=0.9985499978065491%, top5=0.999180018901825%, loss=0.09032873379092611, time=1682.7104477882385s
Train epoch 71: top1=0.9714099764823914%, top2=0.9931833148002625%, top3=0.9972000122070312%, top4=0.9985600113868713%, top5=0.999186635017395%, loss=0.08934401973960611, time=1682.2053060531616s
Train epoch 72: top1=0.9718533158302307%, top2=0.9936466813087463%, top3=0.9974433183670044%, top4=0.9986299872398376%, top5=0.9991966485977173%, loss=0.08701706114968082, time=1682.2792818546295s
Train epoch 73: top1=0.972486674785614%, top2=0.9936533570289612%, top3=0.9975133538246155%, top4=0.9987199902534485%, top5=0.999263346195221%, loss=0.08534014389139788, time=1682.424242258072s
Train epoch 74: top1=0.9728866815567017%, top2=0.9938133358955383%, top3=0.9975333213806152%, top4=0.9987633228302002%, top5=0.9993199706077576%, loss=0.08397183725732552, time=1683.2750043869019s
Train epoch 75: top1=0.9730966687202454%, top2=0.9936766624450684%, top3=0.9975033402442932%, top4=0.9987300038337708%, top5=0.9992600083351135%, loss=0.08358951888536659, time=1682.1488373279572s
Train epoch 76: top1=0.9734866619110107%, top2=0.9939733147621155%, top3=0.9975000023841858%, top4=0.9986500144004822%, top5=0.9991599917411804%, loss=0.08285594099112262, time=1682.5224070549011s
Train epoch 77: top1=0.9742299914360046%, top2=0.9943233132362366%, top3=0.9977166652679443%, top4=0.9987933039665222%, top5=0.9992766380310059%, loss=0.08062160006824523, time=1682.2383587360382s
Train epoch 78: top1=0.9745699763298035%, top2=0.9942700266838074%, top3=0.9977733492851257%, top4=0.9988633394241333%, top5=0.9993433356285095%, loss=0.0794566167548693, time=1683.5717742443085s
Train epoch 79: top1=0.9743466377258301%, top2=0.994213342666626%, top3=0.9976733326911926%, top4=0.9988099932670593%, top5=0.9992966651916504%, loss=0.07924559668153278, time=1682.404014825821s
Train epoch 80: top1=0.9749566912651062%, top2=0.9944233298301697%, top3=0.997843325138092%, top4=0.9989833235740662%, top5=0.9994099736213684%, loss=0.07748891005040534, time=1682.6521649360657s
