original | epoch 51 | top1=0.1758 top2=0.2398 top3=0.2803 top4=0.3107 top5=0.3354 loss=0.120922 time=463.34s
original | epoch 52 | top1=0.1789 top2=0.2436 top3=0.2836 top4=0.3142 top5=0.3394 loss=0.120631 time=463.36s
original | epoch 53 | top1=0.1799 top2=0.2432 top3=0.2828 top4=0.3125 top5=0.3363 loss=0.119893 time=463.00s
original | epoch 54 | top1=0.1792 top2=0.2421 top3=0.2832 top4=0.3128 top5=0.3364 loss=0.119833 time=463.33s
original | epoch 55 | top1=0.1791 top2=0.2440 top3=0.2853 top4=0.3148 top5=0.3377 loss=0.119487 time=463.50s
original | epoch 56 | top1=0.1882 top2=0.2527 top3=0.2925 top4=0.3221 top5=0.3470 loss=0.119128 time=463.38s
original | epoch 57 | top1=0.1759 top2=0.2379 top3=0.2768 top4=0.3055 top5=0.3277 loss=0.118852 time=463.34s
original | epoch 58 | top1=0.1878 top2=0.2536 top3=0.2946 top4=0.3242 top5=0.3486 loss=0.118809 time=463.37s
original | epoch 59 | top1=0.1816 top2=0.2433 top3=0.2837 top4=0.3120 top5=0.3356 loss=0.118522 time=463.41s
original | epoch 60 | top1=0.1875 top2=0.2507 top3=0.2908 top4=0.3216 top5=0.3453 loss=0.117984 time=463.36s
original | epoch 61 | top1=0.1888 top2=0.2526 top3=0.2924 top4=0.3221 top5=0.3453 loss=0.117821 time=463.19s
original | epoch 62 | top1=0.1939 top2=0.2599 top3=0.3005 top4=0.3303 top5=0.3541 loss=0.116968 time=463.29s
original | epoch 63 | top1=0.1898 top2=0.2542 top3=0.2939 top4=0.3235 top5=0.3463 loss=0.116644 time=463.40s
original | epoch 64 | top1=0.1951 top2=0.2619 top3=0.3023 top4=0.3330 top5=0.3569 loss=0.117342 time=463.40s
original | epoch 65 | top1=0.1966 top2=0.2618 top3=0.3021 top4=0.3303 top5=0.3537 loss=0.115863 time=463.30s
original | epoch 66 | top1=0.2023 top2=0.2682 top3=0.3094 top4=0.3394 top5=0.3624 loss=0.115715 time=463.06s
original | epoch 67 | top1=0.2009 top2=0.2666 top3=0.3076 top4=0.3370 top5=0.3607 loss=0.115426 time=463.37s
original | epoch 68 | top1=0.1993 top2=0.2661 top3=0.3060 top4=0.3351 top5=0.3581 loss=0.115439 time=463.28s
original | epoch 69 | top1=0.2019 top2=0.2672 top3=0.3074 top4=0.3365 top5=0.3598 loss=0.114864 time=463.35s
original | epoch 70 | top1=0.2083 top2=0.2742 top3=0.3147 top4=0.3439 top5=0.3671 loss=0.114418 time=463.51s
original | epoch 71 | top1=0.2062 top2=0.2741 top3=0.3151 top4=0.3438 top5=0.3673 loss=0.114359 time=463.27s
original | epoch 72 | top1=0.2139 top2=0.2825 top3=0.3234 top4=0.3532 top5=0.3769 loss=0.114168 time=463.37s
original | epoch 73 | top1=0.2077 top2=0.2740 top3=0.3138 top4=0.3434 top5=0.3659 loss=0.114053 time=463.54s
original | epoch 74 | top1=0.2133 top2=0.2797 top3=0.3204 top4=0.3496 top5=0.3726 loss=0.113085 time=463.75s
original | epoch 75 | top1=0.2210 top2=0.2905 top3=0.3323 top4=0.3614 top5=0.3844 loss=0.112534 time=463.60s
original | epoch 76 | top1=0.2102 top2=0.2765 top3=0.3166 top4=0.3454 top5=0.3678 loss=0.112480 time=463.65s
original | epoch 77 | top1=0.2179 top2=0.2853 top3=0.3258 top4=0.3548 top5=0.3780 loss=0.112801 time=463.60s
original | epoch 78 | top1=0.2201 top2=0.2884 top3=0.3289 top4=0.3577 top5=0.3819 loss=0.112087 time=463.71s
original | epoch 79 | top1=0.2218 top2=0.2890 top3=0.3293 top4=0.3589 top5=0.3823 loss=0.111791 time=463.41s
original | epoch 80 | top1=0.2230 top2=0.2917 top3=0.3319 top4=0.3606 top5=0.3830 loss=0.111026 time=463.50s
original | epoch 81 | top1=0.2364 top2=0.3075 top3=0.3478 top4=0.3773 top5=0.4000 loss=0.110430 time=463.48s
original | epoch 82 | top1=0.2330 top2=0.3008 top3=0.3414 top4=0.3721 top5=0.3945 loss=0.110621 time=463.43s
original | epoch 83 | top1=0.2269 top2=0.2953 top3=0.3346 top4=0.3637 top5=0.3856 loss=0.110005 time=463.70s
original | epoch 84 | top1=0.2454 top2=0.3161 top3=0.3578 top4=0.3885 top5=0.4124 loss=0.109181 time=463.47s
original | epoch 85 | top1=0.2404 top2=0.3103 top3=0.3508 top4=0.3793 top5=0.4016 loss=0.109161 time=463.46s
original | epoch 86 | top1=0.2353 top2=0.3038 top3=0.3431 top4=0.3711 top5=0.3940 loss=0.108557 time=463.50s
original | epoch 87 | top1=0.2398 top2=0.3092 top3=0.3500 top4=0.3777 top5=0.3997 loss=0.108762 time=463.65s
original | epoch 88 | top1=0.2448 top2=0.3148 top3=0.3557 top4=0.3842 top5=0.4063 loss=0.107773 time=463.43s
original | epoch 89 | top1=0.2441 top2=0.3129 top3=0.3522 top4=0.3811 top5=0.4034 loss=0.107712 time=463.34s
original | epoch 90 | top1=0.2508 top2=0.3209 top3=0.3606 top4=0.3886 top5=0.4108 loss=0.106711 time=463.20s
original | epoch 91 | top1=0.2455 top2=0.3136 top3=0.3535 top4=0.3815 top5=0.4026 loss=0.106545 time=463.38s
original | epoch 92 | top1=0.2572 top2=0.3272 top3=0.3661 top4=0.3940 top5=0.4160 loss=0.106478 time=463.21s
original | epoch 93 | top1=0.2487 top2=0.3161 top3=0.3557 top4=0.3828 top5=0.4048 loss=0.105508 time=463.31s
original | epoch 94 | top1=0.2602 top2=0.3289 top3=0.3689 top4=0.3957 top5=0.4171 loss=0.105281 time=463.21s
original | epoch 95 | top1=0.2567 top2=0.3246 top3=0.3630 top4=0.3899 top5=0.4109 loss=0.104773 time=462.84s
original | epoch 96 | top1=0.2492 top2=0.3156 top3=0.3530 top4=0.3794 top5=0.4001 loss=0.104501 time=463.00s
original | epoch 97 | top1=0.2689 top2=0.3383 top3=0.3754 top4=0.4025 top5=0.4228 loss=0.102911 time=462.95s
original | epoch 98 | top1=0.2669 top2=0.3366 top3=0.3759 top4=0.4033 top5=0.4247 loss=0.103887 time=463.18s
original | epoch 99 | top1=0.2722 top2=0.3417 top3=0.3801 top4=0.4067 top5=0.4271 loss=0.102428 time=463.27s
original | epoch 100 | top1=0.2782 top2=0.3481 top3=0.3861 top4=0.4129 top5=0.4334 loss=0.102463 time=463.30s
original | epoch 101 | top1=0.2761 top2=0.3454 top3=0.3835 top4=0.4096 top5=0.4298 loss=0.102296 time=463.25s
original | epoch 102 | top1=0.2829 top2=0.3526 top3=0.3909 top4=0.4164 top5=0.4365 loss=0.101240 time=463.06s
original | epoch 103 | top1=0.2828 top2=0.3506 top3=0.3891 top4=0.4152 top5=0.4353 loss=0.101320 time=463.51s
original | epoch 104 | top1=0.2790 top2=0.3456 top3=0.3819 top4=0.4076 top5=0.4276 loss=0.100803 time=463.36s
original | epoch 105 | top1=0.2862 top2=0.3548 top3=0.3923 top4=0.4182 top5=0.4379 loss=0.100633 time=463.41s
original | epoch 106 | top1=0.2908 top2=0.3566 top3=0.3924 top4=0.4169 top5=0.4366 loss=0.099530 time=463.19s
original | epoch 107 | top1=0.2897 top2=0.3566 top3=0.3932 top4=0.4182 top5=0.4374 loss=0.099173 time=463.15s
original | epoch 108 | top1=0.2971 top2=0.3639 top3=0.4003 top4=0.4250 top5=0.4441 loss=0.098611 time=463.21s
original | epoch 109 | top1=0.3009 top2=0.3688 top3=0.4048 top4=0.4304 top5=0.4498 loss=0.098931 time=463.23s
original | epoch 110 | top1=0.3030 top2=0.3707 top3=0.4058 top4=0.4311 top5=0.4493 loss=0.098079 time=463.43s
original | epoch 111 | top1=0.2945 top2=0.3575 top3=0.3915 top4=0.4152 top5=0.4340 loss=0.097092 time=463.39s
original | epoch 112 | top1=0.3111 top2=0.3788 top3=0.4149 top4=0.4399 top5=0.4588 loss=0.097153 time=463.22s
original | epoch 113 | top1=0.3101 top2=0.3764 top3=0.4112 top4=0.4346 top5=0.4530 loss=0.096729 time=463.35s
original | epoch 114 | top1=0.3088 top2=0.3740 top3=0.4088 top4=0.4323 top5=0.4498 loss=0.096136 time=463.09s
original | epoch 115 | top1=0.3174 top2=0.3841 top3=0.4184 top4=0.4412 top5=0.4592 loss=0.095298 time=462.98s
original | epoch 116 | top1=0.3196 top2=0.3846 top3=0.4189 top4=0.4426 top5=0.4611 loss=0.094522 time=463.26s
original | epoch 117 | top1=0.3389 top2=0.4055 top3=0.4399 top4=0.4624 top5=0.4801 loss=0.094407 time=463.12s
original | epoch 118 | top1=0.3241 top2=0.3868 top3=0.4198 top4=0.4417 top5=0.4595 loss=0.093578 time=463.07s
original | epoch 119 | top1=0.3309 top2=0.3949 top3=0.4282 top4=0.4504 top5=0.4681 loss=0.093165 time=463.23s
original | epoch 120 | top1=0.3138 top2=0.3751 top3=0.4069 top4=0.4284 top5=0.4450 loss=0.093217 time=463.22s
original | epoch 121 | top1=0.3314 top2=0.3946 top3=0.4277 top4=0.4501 top5=0.4667 loss=0.092919 time=462.91s
original | epoch 122 | top1=0.3369 top2=0.4001 top3=0.4321 top4=0.4532 top5=0.4707 loss=0.093312 time=462.91s
original | epoch 123 | top1=0.3403 top2=0.4020 top3=0.4341 top4=0.4548 top5=0.4717 loss=0.092259 time=463.16s
original | epoch 124 | top1=0.3386 top2=0.3988 top3=0.4304 top4=0.4516 top5=0.4684 loss=0.091300 time=463.37s
original | epoch 125 | top1=0.3475 top2=0.4097 top3=0.4416 top4=0.4643 top5=0.4812 loss=0.091589 time=463.05s
original | epoch 126 | top1=0.3452 top2=0.4052 top3=0.4358 top4=0.4566 top5=0.4724 loss=0.090734 time=463.85s
original | epoch 127 | top1=0.3442 top2=0.4039 top3=0.4352 top4=0.4553 top5=0.4715 loss=0.090305 time=462.87s
original | epoch 128 | top1=0.3535 top2=0.4123 top3=0.4420 top4=0.4614 top5=0.4770 loss=0.089508 time=463.08s
original | epoch 129 | top1=0.3533 top2=0.4108 top3=0.4398 top4=0.4604 top5=0.4757 loss=0.089498 time=463.24s
original | epoch 130 | top1=0.3550 top2=0.4137 top3=0.4442 top4=0.4646 top5=0.4808 loss=0.088974 time=463.28s
original | epoch 131 | top1=0.3591 top2=0.4170 top3=0.4463 top4=0.4663 top5=0.4818 loss=0.088028 time=463.35s
original | epoch 132 | top1=0.3628 top2=0.4201 top3=0.4492 top4=0.4694 top5=0.4844 loss=0.088122 time=463.24s
original | epoch 133 | top1=0.3643 top2=0.4209 top3=0.4497 top4=0.4681 top5=0.4829 loss=0.086565 time=463.44s
original | epoch 134 | top1=0.3691 top2=0.4237 top3=0.4525 top4=0.4713 top5=0.4859 loss=0.086259 time=463.50s
original | epoch 135 | top1=0.3720 top2=0.4269 top3=0.4537 top4=0.4728 top5=0.4874 loss=0.086197 time=463.07s
