tensor | epoch 1 | top1=0.0049 top2=0.0100 top3=0.0150 top4=0.0200 top5=0.0254 loss=0.168568 time=191.58s
tensor | epoch 2 | top1=0.0103 top2=0.0204 top3=0.0292 top4=0.0377 top5=0.0458 loss=0.163400 time=190.41s
tensor | epoch 3 | top1=0.0151 top2=0.0281 top3=0.0396 top4=0.0507 top5=0.0614 loss=0.161308 time=190.49s
tensor | epoch 4 | top1=0.0198 top2=0.0369 top3=0.0512 top4=0.0649 top5=0.0776 loss=0.159218 time=190.42s
tensor | epoch 5 | top1=0.0266 top2=0.0471 top3=0.0655 top4=0.0818 top5=0.0963 loss=0.156719 time=190.26s
tensor | epoch 6 | top1=0.0351 top2=0.0607 top3=0.0826 top4=0.1014 top5=0.1185 loss=0.154037 time=190.18s
tensor | epoch 7 | top1=0.0474 top2=0.0766 top3=0.1006 top4=0.1212 top5=0.1406 loss=0.150860 time=190.19s
tensor | epoch 8 | top1=0.0558 top2=0.0904 top3=0.1168 top4=0.1384 top5=0.1581 loss=0.147914 time=190.31s
tensor | epoch 9 | top1=0.0677 top2=0.1053 top3=0.1333 top4=0.1570 top5=0.1784 loss=0.145375 time=190.57s
tensor | epoch 10 | top1=0.0785 top2=0.1202 top3=0.1523 top4=0.1790 top5=0.2008 loss=0.143053 time=190.42s
tensor | epoch 11 | top1=0.0833 top2=0.1265 top3=0.1587 top4=0.1846 top5=0.2054 loss=0.141629 time=190.49s
tensor | epoch 12 | top1=0.0907 top2=0.1359 top3=0.1687 top4=0.1960 top5=0.2198 loss=0.139934 time=190.19s
tensor | epoch 13 | top1=0.0963 top2=0.1429 top3=0.1765 top4=0.2036 top5=0.2260 loss=0.138361 time=190.53s
tensor | epoch 14 | top1=0.0993 top2=0.1481 top3=0.1829 top4=0.2115 top5=0.2346 loss=0.137298 time=190.55s
tensor | epoch 15 | top1=0.1072 top2=0.1581 top3=0.1952 top4=0.2231 top5=0.2470 loss=0.136304 time=190.44s
tensor | epoch 16 | top1=0.1075 top2=0.1589 top3=0.1950 top4=0.2228 top5=0.2463 loss=0.135378 time=190.62s
tensor | epoch 17 | top1=0.1132 top2=0.1656 top3=0.2003 top4=0.2281 top5=0.2518 loss=0.134382 time=190.32s
tensor | epoch 18 | top1=0.1186 top2=0.1723 top3=0.2096 top4=0.2380 top5=0.2621 loss=0.133459 time=190.32s
tensor | epoch 19 | top1=0.1205 top2=0.1743 top3=0.2125 top4=0.2410 top5=0.2651 loss=0.133288 time=190.32s
tensor | epoch 20 | top1=0.1247 top2=0.1782 top3=0.2154 top4=0.2442 top5=0.2670 loss=0.132571 time=190.41s
tensor | epoch 21 | top1=0.1298 top2=0.1871 top3=0.2257 top4=0.2555 top5=0.2809 loss=0.132124 time=190.23s
tensor | epoch 22 | top1=0.1246 top2=0.1789 top3=0.2159 top4=0.2455 top5=0.2689 loss=0.131728 time=190.34s
tensor | epoch 23 | top1=0.1328 top2=0.1892 top3=0.2269 top4=0.2556 top5=0.2805 loss=0.130829 time=190.18s
tensor | epoch 24 | top1=0.1337 top2=0.1909 top3=0.2308 top4=0.2612 top5=0.2862 loss=0.130672 time=190.06s
tensor | epoch 25 | top1=0.1344 top2=0.1893 top3=0.2277 top4=0.2561 top5=0.2807 loss=0.130146 time=190.21s
