tensor | epoch 1 | top1=0.0048 top2=0.0100 top3=0.0152 top4=0.0205 top5=0.0255 loss=0.169756 time=402.31s
tensor | epoch 2 | top1=0.0092 top2=0.0169 top3=0.0248 top4=0.0319 top5=0.0393 loss=0.164582 time=381.04s
tensor | epoch 3 | top1=0.0148 top2=0.0274 top3=0.0384 top4=0.0491 top5=0.0599 loss=0.161972 time=378.40s
tensor | epoch 4 | top1=0.0180 top2=0.0328 top3=0.0464 top4=0.0593 top5=0.0710 loss=0.160226 time=377.89s
tensor | epoch 5 | top1=0.0230 top2=0.0401 top3=0.0554 top4=0.0696 top5=0.0831 loss=0.158604 time=376.79s
tensor | epoch 6 | top1=0.0304 top2=0.0520 top3=0.0699 top4=0.0874 top5=0.1029 loss=0.156083 time=376.34s
tensor | epoch 7 | top1=0.0415 top2=0.0701 top3=0.0931 top4=0.1129 top5=0.1306 loss=0.152445 time=376.11s
tensor | epoch 8 | top1=0.0534 top2=0.0873 top3=0.1137 top4=0.1366 top5=0.1568 loss=0.148941 time=376.17s
tensor | epoch 9 | top1=0.0657 top2=0.1034 top3=0.1321 top4=0.1562 top5=0.1771 loss=0.145837 time=377.88s
tensor | epoch 10 | top1=0.0738 top2=0.1143 top3=0.1441 top4=0.1686 top5=0.1903 loss=0.143313 time=376.26s
tensor | epoch 11 | top1=0.0819 top2=0.1256 top3=0.1588 top4=0.1858 top5=0.2091 loss=0.141203 time=376.38s
tensor | epoch 12 | top1=0.0941 top2=0.1413 top3=0.1749 top4=0.2027 top5=0.2259 loss=0.138914 time=376.12s
tensor | epoch 13 | top1=0.0998 top2=0.1477 top3=0.1823 top4=0.2105 top5=0.2339 loss=0.136966 time=376.16s
tensor | epoch 14 | top1=0.1078 top2=0.1594 top3=0.1953 top4=0.2231 top5=0.2468 loss=0.135509 time=376.25s
tensor | epoch 15 | top1=0.1136 top2=0.1676 top3=0.2045 top4=0.2338 top5=0.2588 loss=0.134575 time=375.97s
tensor | epoch 16 | top1=0.1185 top2=0.1717 top3=0.2083 top4=0.2383 top5=0.2618 loss=0.133374 time=375.91s
tensor | epoch 17 | top1=0.1232 top2=0.1774 top3=0.2155 top4=0.2445 top5=0.2685 loss=0.132802 time=376.14s
tensor | epoch 18 | top1=0.1245 top2=0.1803 top3=0.2187 top4=0.2475 top5=0.2717 loss=0.131883 time=376.44s
