tensorized | epoch 1 | top1=0.0047 top2=0.0101 top3=0.0146 top4=0.0195 top5=0.0243 loss=0.085254 time=462.92s
tensorized | epoch 2 | top1=0.0070 top2=0.0137 top3=0.0201 top4=0.0264 top5=0.0331 loss=0.082843 time=460.79s
tensorized | epoch 3 | top1=0.0154 top2=0.0284 top3=0.0409 top4=0.0521 top5=0.0627 loss=0.080810 time=461.55s
tensorized | epoch 4 | top1=0.0198 top2=0.0359 top3=0.0499 top4=0.0634 top5=0.0762 loss=0.080045 time=461.67s
tensorized | epoch 5 | top1=0.0244 top2=0.0425 top3=0.0579 top4=0.0721 top5=0.0858 loss=0.079339 time=460.70s
tensorized | epoch 6 | top1=0.0277 top2=0.0480 top3=0.0653 top4=0.0809 top5=0.0951 loss=0.078695 time=459.88s
tensorized | epoch 7 | top1=0.0295 top2=0.0506 top3=0.0680 top4=0.0838 top5=0.0989 loss=0.078401 time=462.63s
tensorized | epoch 8 | top1=0.0289 top2=0.0486 top3=0.0663 top4=0.0818 top5=0.0969 loss=0.078495 time=461.22s
tensorized | epoch 9 | top1=0.0278 top2=0.0484 top3=0.0659 top4=0.0814 top5=0.0954 loss=0.078631 time=461.32s
tensorized | epoch 10 | top1=0.0260 top2=0.0463 top3=0.0637 top4=0.0786 top5=0.0920 loss=0.078930 time=462.52s
tensorized | epoch 11 | top1=0.0221 top2=0.0394 top3=0.0544 top4=0.0680 top5=0.0809 loss=0.079858 time=462.12s
tensorized | epoch 12 | top1=0.0218 top2=0.0380 top3=0.0521 top4=0.0656 top5=0.0783 loss=0.079789 time=462.29s
tensorized | epoch 13 | top1=0.0220 top2=0.0392 top3=0.0544 top4=0.0675 top5=0.0793 loss=0.079844 time=461.69s
tensorized | epoch 14 | top1=0.0179 top2=0.0322 top3=0.0456 top4=0.0583 top5=0.0701 loss=0.080363 time=460.69s
tensorized | epoch 15 | top1=0.0207 top2=0.0380 top3=0.0522 top4=0.0657 top5=0.0786 loss=0.079889 time=460.34s
tensorized | epoch 16 | top1=0.0190 top2=0.0347 top3=0.0485 top4=0.0613 top5=0.0724 loss=0.080071 time=460.44s
tensorized | epoch 17 | top1=0.0119 top2=0.0224 top3=0.0326 top4=0.0420 top5=0.0512 loss=0.081490 time=460.00s
tensorized | epoch 18 | top1=0.0102 top2=0.0189 top3=0.0277 top4=0.0365 top5=0.0448 loss=0.082006 time=460.38s
tensorized | epoch 19 | top1=0.0094 top2=0.0181 top3=0.0263 top4=0.0345 top5=0.0421 loss=0.081987 time=460.34s
tensorized | epoch 20 | top1=0.0102 top2=0.0203 top3=0.0293 top4=0.0381 top5=0.0464 loss=0.081875 time=459.75s
tensorized | epoch 21 | top1=0.0086 top2=0.0157 top3=0.0225 top4=0.0292 top5=0.0362 loss=0.082394 time=457.24s
tensorized | epoch 22 | top1=0.0076 top2=0.0148 top3=0.0212 top4=0.0278 top5=0.0346 loss=0.082504 time=457.46s
tensorized | epoch 23 | top1=0.0076 top2=0.0145 top3=0.0210 top4=0.0277 top5=0.0345 loss=0.082539 time=456.01s
tensorized | epoch 24 | top1=0.0073 top2=0.0144 top3=0.0212 top4=0.0279 top5=0.0340 loss=0.082523 time=457.28s
tensorized | epoch 25 | top1=0.0084 top2=0.0158 top3=0.0231 top4=0.0307 top5=0.0379 loss=0.082280 time=457.82s
tensorized | epoch 26 | top1=0.0081 top2=0.0154 top3=0.0222 top4=0.0292 top5=0.0366 loss=0.082403 time=454.84s
tensorized | epoch 27 | top1=0.0077 top2=0.0146 top3=0.0211 top4=0.0281 top5=0.0344 loss=0.082482 time=455.60s
tensorized | epoch 28 | top1=0.0078 top2=0.0151 top3=0.0220 top4=0.0287 top5=0.0352 loss=0.082517 time=456.36s
tensorized | epoch 29 | top1=0.0088 top2=0.0172 top3=0.0255 top4=0.0334 top5=0.0406 loss=0.082231 time=455.71s
tensorized | epoch 30 | top1=0.0090 top2=0.0175 top3=0.0247 top4=0.0321 top5=0.0398 loss=0.082167 time=455.30s
tensorized | epoch 31 | top1=0.0095 top2=0.0181 top3=0.0258 top4=0.0340 top5=0.0418 loss=0.082096 time=455.27s
tensorized | epoch 32 | top1=0.0088 top2=0.0174 top3=0.0255 top4=0.0330 top5=0.0405 loss=0.082113 time=454.43s
tensorized | epoch 33 | top1=0.0095 top2=0.0180 top3=0.0271 top4=0.0352 top5=0.0433 loss=0.081968 time=455.10s
tensorized | epoch 34 | top1=0.0100 top2=0.0188 top3=0.0272 top4=0.0358 top5=0.0440 loss=0.081856 time=455.16s
tensorized | epoch 35 | top1=0.0107 top2=0.0204 top3=0.0296 top4=0.0382 top5=0.0469 loss=0.081633 time=453.32s
tensorized | epoch 36 | top1=0.0115 top2=0.0215 top3=0.0315 top4=0.0408 top5=0.0496 loss=0.081489 time=455.69s
tensorized | epoch 37 | top1=0.0115 top2=0.0217 top3=0.0318 top4=0.0414 top5=0.0500 loss=0.081427 time=454.83s
tensorized | epoch 38 | top1=0.0111 top2=0.0214 top3=0.0309 top4=0.0404 top5=0.0497 loss=0.081452 time=454.91s
tensorized | epoch 39 | top1=0.0134 top2=0.0242 top3=0.0357 top4=0.0461 top5=0.0554 loss=0.081102 time=456.14s
tensorized | epoch 40 | top1=0.0123 top2=0.0234 top3=0.0333 top4=0.0432 top5=0.0524 loss=0.081275 time=454.17s
tensorized | epoch 41 | top1=0.0101 top2=0.0190 top3=0.0283 top4=0.0367 top5=0.0448 loss=0.081882 time=457.27s
tensorized | epoch 42 | top1=0.0089 top2=0.0174 top3=0.0259 top4=0.0336 top5=0.0417 loss=0.082026 time=458.19s
tensorized | epoch 43 | top1=0.0097 top2=0.0186 top3=0.0275 top4=0.0359 top5=0.0442 loss=0.081914 time=458.06s
tensorized | epoch 44 | top1=0.0092 top2=0.0182 top3=0.0274 top4=0.0358 top5=0.0440 loss=0.081945 time=458.01s
tensorized | epoch 45 | top1=0.0092 top2=0.0184 top3=0.0270 top4=0.0352 top5=0.0430 loss=0.081954 time=457.71s
tensorized | epoch 46 | top1=0.0095 top2=0.0187 top3=0.0275 top4=0.0355 top5=0.0440 loss=0.081906 time=458.52s
tensorized | epoch 47 | top1=0.0103 top2=0.0197 top3=0.0286 top4=0.0371 top5=0.0457 loss=0.081933 time=458.04s
tensorized | epoch 48 | top1=0.0095 top2=0.0188 top3=0.0269 top4=0.0348 top5=0.0426 loss=0.081964 time=457.05s
