tensor | epoch 1 | top1=0.0051 top2=0.0101 top3=0.0148 top4=0.0199 top5=0.0252 loss=0.173285 time=196.98s
tensor | epoch 2 | top1=0.0132 top2=0.0247 top3=0.0338 top4=0.0433 top5=0.0527 loss=0.163188 time=196.48s
tensor | epoch 3 | top1=0.0212 top2=0.0388 top3=0.0536 top4=0.0671 top5=0.0799 loss=0.159429 time=196.12s
tensor | epoch 4 | top1=0.0300 top2=0.0521 top3=0.0701 top4=0.0860 top5=0.1010 loss=0.156553 time=195.97s
tensor | epoch 5 | top1=0.0370 top2=0.0634 top3=0.0848 top4=0.1034 top5=0.1204 loss=0.153746 time=196.08s
tensor | epoch 6 | top1=0.0456 top2=0.0745 top3=0.0995 top4=0.1197 top5=0.1381 loss=0.150989 time=196.15s
tensor | epoch 7 | top1=0.0569 top2=0.0912 top3=0.1176 top4=0.1401 top5=0.1600 loss=0.148626 time=196.12s
tensor | epoch 8 | top1=0.0644 top2=0.1018 top3=0.1295 top4=0.1530 top5=0.1729 loss=0.146275 time=196.37s
tensor | epoch 9 | top1=0.0721 top2=0.1115 top3=0.1418 top4=0.1661 top5=0.1885 loss=0.144254 time=196.25s
tensor | epoch 10 | top1=0.0798 top2=0.1214 top3=0.1525 top4=0.1785 top5=0.1996 loss=0.142233 time=196.22s
tensor | epoch 11 | top1=0.0874 top2=0.1316 top3=0.1646 top4=0.1913 top5=0.2144 loss=0.140985 time=195.86s
tensor | epoch 12 | top1=0.0934 top2=0.1397 top3=0.1740 top4=0.2014 top5=0.2253 loss=0.138743 time=196.08s
tensor | epoch 13 | top1=0.0995 top2=0.1479 top3=0.1822 top4=0.2105 top5=0.2341 loss=0.137305 time=196.22s
tensor | epoch 14 | top1=0.1079 top2=0.1595 top3=0.1949 top4=0.2235 top5=0.2478 loss=0.136118 time=196.11s
tensor | epoch 15 | top1=0.1106 top2=0.1631 top3=0.1993 top4=0.2276 top5=0.2515 loss=0.135467 time=196.11s
tensor | epoch 16 | top1=0.1135 top2=0.1664 top3=0.2018 top4=0.2300 top5=0.2543 loss=0.134476 time=196.70s
tensor | epoch 17 | top1=0.1169 top2=0.1688 top3=0.2042 top4=0.2331 top5=0.2576 loss=0.133400 time=196.39s
tensor | epoch 18 | top1=0.1197 top2=0.1731 top3=0.2099 top4=0.2386 top5=0.2628 loss=0.132892 time=196.04s
tensor | epoch 19 | top1=0.1234 top2=0.1780 top3=0.2150 top4=0.2439 top5=0.2680 loss=0.132302 time=196.30s
tensor | epoch 20 | top1=0.1245 top2=0.1790 top3=0.2164 top4=0.2457 top5=0.2703 loss=0.132319 time=196.18s
tensor | epoch 21 | top1=0.1323 top2=0.1906 top3=0.2288 top4=0.2590 top5=0.2835 loss=0.131404 time=196.40s
tensor | epoch 22 | top1=0.1320 top2=0.1879 top3=0.2253 top4=0.2538 top5=0.2783 loss=0.130465 time=196.78s
tensor | epoch 23 | top1=0.1317 top2=0.1876 top3=0.2255 top4=0.2550 top5=0.2795 loss=0.130604 time=196.67s
tensor | epoch 24 | top1=0.1353 top2=0.1916 top3=0.2301 top4=0.2594 top5=0.2843 loss=0.130113 time=195.89s
tensor | epoch 25 | top1=0.1360 top2=0.1917 top3=0.2307 top4=0.2597 top5=0.2846 loss=0.129499 time=196.23s
tensor | epoch 26 | top1=0.1392 top2=0.1969 top3=0.2359 top4=0.2649 top5=0.2889 loss=0.129800 time=196.20s
tensor | epoch 27 | top1=0.1380 top2=0.1973 top3=0.2366 top4=0.2662 top5=0.2915 loss=0.129686 time=196.35s
tensor | epoch 28 | top1=0.1380 top2=0.1943 top3=0.2325 top4=0.2621 top5=0.2865 loss=0.128878 time=196.47s
tensor | epoch 29 | top1=0.1390 top2=0.1949 top3=0.2331 top4=0.2628 top5=0.2871 loss=0.129043 time=196.59s
tensor | epoch 30 | top1=0.1413 top2=0.2001 top3=0.2381 top4=0.2677 top5=0.2920 loss=0.128765 time=196.59s
tensor | epoch 31 | top1=0.1449 top2=0.2027 top3=0.2418 top4=0.2723 top5=0.2962 loss=0.128265 time=196.42s
tensor | epoch 32 | top1=0.1440 top2=0.2029 top3=0.2421 top4=0.2726 top5=0.2970 loss=0.128262 time=196.42s
tensor | epoch 33 | top1=0.1422 top2=0.2000 top3=0.2377 top4=0.2661 top5=0.2895 loss=0.127404 time=196.52s
