tensor | epoch 49 | top1=0.1773 top2=0.2399 top3=0.2804 top4=0.3098 top5=0.3344 loss=0.120697 time=463.01s
tensor | epoch 50 | top1=0.1754 top2=0.2379 top3=0.2772 top4=0.3072 top5=0.3306 loss=0.119873 time=462.85s
tensor | epoch 51 | top1=0.1766 top2=0.2402 top3=0.2796 top4=0.3088 top5=0.3321 loss=0.119677 time=462.77s
tensor | epoch 52 | top1=0.1763 top2=0.2390 top3=0.2786 top4=0.3082 top5=0.3325 loss=0.119410 time=462.72s
tensor | epoch 53 | top1=0.1871 top2=0.2511 top3=0.2927 top4=0.3236 top5=0.3476 loss=0.118965 time=462.70s
tensor | epoch 54 | top1=0.1818 top2=0.2452 top3=0.2846 top4=0.3137 top5=0.3375 loss=0.118870 time=463.07s
tensor | epoch 55 | top1=0.1823 top2=0.2467 top3=0.2870 top4=0.3165 top5=0.3408 loss=0.119372 time=462.80s
tensor | epoch 56 | top1=0.1833 top2=0.2472 top3=0.2869 top4=0.3152 top5=0.3383 loss=0.118406 time=462.96s
tensor | epoch 57 | top1=0.1883 top2=0.2542 top3=0.2948 top4=0.3250 top5=0.3484 loss=0.118279 time=462.91s
tensor | epoch 58 | top1=0.1885 top2=0.2539 top3=0.2936 top4=0.3238 top5=0.3473 loss=0.117595 time=462.85s
tensor | epoch 59 | top1=0.1979 top2=0.2657 top3=0.3061 top4=0.3362 top5=0.3602 loss=0.117335 time=462.93s
tensor | epoch 60 | top1=0.1954 top2=0.2624 top3=0.3035 top4=0.3342 top5=0.3579 loss=0.117098 time=463.08s
tensor | epoch 61 | top1=0.1943 top2=0.2628 top3=0.3042 top4=0.3333 top5=0.3571 loss=0.117083 time=462.95s
tensor | epoch 62 | top1=0.1942 top2=0.2589 top3=0.2997 top4=0.3281 top5=0.3515 loss=0.116465 time=462.91s
tensor | epoch 63 | top1=0.2011 top2=0.2670 top3=0.3061 top4=0.3356 top5=0.3597 loss=0.116401 time=462.84s
tensor | epoch 64 | top1=0.1963 top2=0.2614 top3=0.3017 top4=0.3313 top5=0.3549 loss=0.115423 time=462.88s
tensor | epoch 65 | top1=0.2079 top2=0.2775 top3=0.3181 top4=0.3485 top5=0.3723 loss=0.115054 time=463.04s
tensor | epoch 66 | top1=0.2021 top2=0.2676 top3=0.3074 top4=0.3371 top5=0.3610 loss=0.115135 time=462.68s
tensor | epoch 67 | top1=0.2017 top2=0.2667 top3=0.3058 top4=0.3357 top5=0.3585 loss=0.114715 time=462.71s
tensor | epoch 68 | top1=0.2084 top2=0.2762 top3=0.3165 top4=0.3462 top5=0.3695 loss=0.114702 time=462.77s
tensor | epoch 69 | top1=0.2027 top2=0.2697 top3=0.3087 top4=0.3383 top5=0.3606 loss=0.113970 time=462.98s
tensor | epoch 70 | top1=0.2177 top2=0.2867 top3=0.3274 top4=0.3573 top5=0.3808 loss=0.113199 time=462.76s
tensor | epoch 71 | top1=0.2120 top2=0.2783 top3=0.3195 top4=0.3487 top5=0.3725 loss=0.112804 time=462.79s
tensor | epoch 72 | top1=0.2193 top2=0.2888 top3=0.3302 top4=0.3602 top5=0.3832 loss=0.112180 time=462.86s
tensor | epoch 73 | top1=0.2173 top2=0.2848 top3=0.3255 top4=0.3544 top5=0.3770 loss=0.112467 time=463.00s
tensor | epoch 74 | top1=0.2216 top2=0.2902 top3=0.3307 top4=0.3598 top5=0.3830 loss=0.111444 time=462.94s
tensor | epoch 75 | top1=0.2196 top2=0.2874 top3=0.3277 top4=0.3562 top5=0.3790 loss=0.111845 time=462.97s
tensor | epoch 76 | top1=0.2273 top2=0.2961 top3=0.3355 top4=0.3647 top5=0.3876 loss=0.111154 time=462.85s
tensor | epoch 77 | top1=0.2293 top2=0.2973 top3=0.3386 top4=0.3672 top5=0.3899 loss=0.110417 time=462.69s
tensor | epoch 78 | top1=0.2256 top2=0.2936 top3=0.3340 top4=0.3626 top5=0.3848 loss=0.109776 time=462.78s
tensor | epoch 79 | top1=0.2269 top2=0.2937 top3=0.3329 top4=0.3615 top5=0.3831 loss=0.109717 time=462.88s
tensor | epoch 80 | top1=0.2267 top2=0.2938 top3=0.3330 top4=0.3601 top5=0.3817 loss=0.109152 time=462.82s
tensor | epoch 81 | top1=0.2337 top2=0.3017 top3=0.3411 top4=0.3682 top5=0.3900 loss=0.108786 time=462.85s
tensor | epoch 82 | top1=0.2357 top2=0.3041 top3=0.3450 top4=0.3734 top5=0.3959 loss=0.108447 time=462.96s
tensor | epoch 83 | top1=0.2379 top2=0.3062 top3=0.3463 top4=0.3745 top5=0.3954 loss=0.108013 time=463.04s
tensor | epoch 84 | top1=0.2446 top2=0.3150 top3=0.3558 top4=0.3839 top5=0.4064 loss=0.108155 time=462.63s
tensor | epoch 85 | top1=0.2429 top2=0.3120 top3=0.3517 top4=0.3794 top5=0.4008 loss=0.107804 time=462.94s
tensor | epoch 86 | top1=0.2480 top2=0.3168 top3=0.3569 top4=0.3848 top5=0.4067 loss=0.107928 time=463.03s
tensor | epoch 87 | top1=0.2514 top2=0.3221 top3=0.3616 top4=0.3887 top5=0.4102 loss=0.106432 time=463.05s
tensor | epoch 88 | top1=0.2506 top2=0.3202 top3=0.3607 top4=0.3882 top5=0.4094 loss=0.106145 time=463.10s
tensor | epoch 89 | top1=0.2548 top2=0.3245 top3=0.3640 top4=0.3905 top5=0.4114 loss=0.105745 time=463.09s
tensor | epoch 90 | top1=0.2548 top2=0.3232 top3=0.3624 top4=0.3892 top5=0.4106 loss=0.105745 time=463.27s
tensor | epoch 91 | top1=0.2596 top2=0.3288 top3=0.3678 top4=0.3944 top5=0.4151 loss=0.104948 time=463.26s
tensor | epoch 92 | top1=0.2706 top2=0.3412 top3=0.3800 top4=0.4072 top5=0.4289 loss=0.103963 time=463.18s
tensor | epoch 93 | top1=0.2711 top2=0.3421 top3=0.3816 top4=0.4091 top5=0.4293 loss=0.103315 time=463.32s
tensor | epoch 94 | top1=0.2735 top2=0.3444 top3=0.3830 top4=0.4095 top5=0.4300 loss=0.102572 time=463.33s
tensor | epoch 95 | top1=0.2722 top2=0.3405 top3=0.3786 top4=0.4055 top5=0.4259 loss=0.103646 time=463.27s
tensor | epoch 96 | top1=0.2790 top2=0.3494 top3=0.3870 top4=0.4129 top5=0.4334 loss=0.102080 time=463.21s
tensor | epoch 97 | top1=0.2731 top2=0.3425 top3=0.3801 top4=0.4051 top5=0.4247 loss=0.101884 time=463.13s
tensor | epoch 98 | top1=0.2757 top2=0.3432 top3=0.3806 top4=0.4060 top5=0.4251 loss=0.101903 time=463.16s
tensor | epoch 99 | top1=0.2804 top2=0.3475 top3=0.3839 top4=0.4102 top5=0.4302 loss=0.101806 time=463.11s
tensor | epoch 100 | top1=0.2725 top2=0.3415 top3=0.3780 top4=0.4036 top5=0.4224 loss=0.101321 time=463.07s
tensor | epoch 101 | top1=0.2867 top2=0.3534 top3=0.3905 top4=0.4166 top5=0.4352 loss=0.100140 time=463.06s
tensor | epoch 102 | top1=0.2889 top2=0.3574 top3=0.3941 top4=0.4193 top5=0.4380 loss=0.100078 time=463.99s
tensor | epoch 103 | top1=0.2938 top2=0.3602 top3=0.3979 top4=0.4219 top5=0.4409 loss=0.098918 time=465.56s
tensor | epoch 104 | top1=0.2853 top2=0.3506 top3=0.3865 top4=0.4100 top5=0.4288 loss=0.099316 time=463.24s
tensor | epoch 105 | top1=0.2914 top2=0.3571 top3=0.3925 top4=0.4169 top5=0.4360 loss=0.098275 time=463.06s
tensor | epoch 106 | top1=0.2979 top2=0.3656 top3=0.4016 top4=0.4254 top5=0.4430 loss=0.098066 time=463.45s
tensor | epoch 107 | top1=0.3057 top2=0.3734 top3=0.4088 top4=0.4328 top5=0.4517 loss=0.096934 time=463.24s
tensor | epoch 108 | top1=0.3059 top2=0.3713 top3=0.4061 top4=0.4302 top5=0.4487 loss=0.096959 time=463.19s
tensor | epoch 109 | top1=0.3090 top2=0.3751 top3=0.4096 top4=0.4325 top5=0.4502 loss=0.096217 time=463.29s
tensor | epoch 110 | top1=0.3134 top2=0.3798 top3=0.4138 top4=0.4386 top5=0.4569 loss=0.095912 time=463.17s
tensor | epoch 111 | top1=0.3211 top2=0.3877 top3=0.4238 top4=0.4470 top5=0.4644 loss=0.096038 time=463.16s
tensor | epoch 112 | top1=0.3191 top2=0.3842 top3=0.4188 top4=0.4426 top5=0.4605 loss=0.096118 time=462.98s
tensor | epoch 113 | top1=0.3190 top2=0.3841 top3=0.4171 top4=0.4405 top5=0.4585 loss=0.095324 time=463.38s
tensor | epoch 114 | top1=0.3177 top2=0.3811 top3=0.4143 top4=0.4375 top5=0.4543 loss=0.095471 time=463.31s
tensor | epoch 115 | top1=0.3292 top2=0.3935 top3=0.4265 top4=0.4481 top5=0.4651 loss=0.093982 time=463.29s
tensor | epoch 116 | top1=0.3301 top2=0.3937 top3=0.4269 top4=0.4495 top5=0.4664 loss=0.093597 time=463.50s
tensor | epoch 117 | top1=0.3261 top2=0.3885 top3=0.4210 top4=0.4429 top5=0.4595 loss=0.093446 time=463.41s
tensor | epoch 118 | top1=0.3418 top2=0.4050 top3=0.4375 top4=0.4592 top5=0.4762 loss=0.093163 time=463.20s
tensor | epoch 119 | top1=0.3296 top2=0.3917 top3=0.4225 top4=0.4441 top5=0.4605 loss=0.092514 time=463.47s
tensor | epoch 120 | top1=0.3401 top2=0.4007 top3=0.4322 top4=0.4533 top5=0.4688 loss=0.091648 time=463.44s
tensor | epoch 121 | top1=0.3437 top2=0.4054 top3=0.4370 top4=0.4581 top5=0.4738 loss=0.092049 time=463.24s
tensor | epoch 122 | top1=0.3315 top2=0.3900 top3=0.4204 top4=0.4409 top5=0.4571 loss=0.091642 time=463.67s
tensor | epoch 123 | top1=0.3410 top2=0.4008 top3=0.4320 top4=0.4524 top5=0.4687 loss=0.091346 time=463.34s
tensor | epoch 124 | top1=0.3494 top2=0.4092 top3=0.4398 top4=0.4607 top5=0.4763 loss=0.090118 time=463.34s
tensor | epoch 125 | top1=0.3538 top2=0.4137 top3=0.4433 top4=0.4625 top5=0.4779 loss=0.089633 time=463.38s
tensor | epoch 126 | top1=0.3543 top2=0.4115 top3=0.4403 top4=0.4601 top5=0.4752 loss=0.089105 time=463.23s
tensor | epoch 127 | top1=0.3565 top2=0.4166 top3=0.4456 top4=0.4657 top5=0.4818 loss=0.089773 time=463.21s
tensor | epoch 128 | top1=0.3588 top2=0.4172 top3=0.4458 top4=0.4652 top5=0.4805 loss=0.089192 time=463.34s
tensor | epoch 129 | top1=0.3713 top2=0.4274 top3=0.4550 top4=0.4738 top5=0.4882 loss=0.086728 time=463.29s
tensor | epoch 130 | top1=0.3660 top2=0.4227 top3=0.4506 top4=0.4700 top5=0.4848 loss=0.088434 time=463.55s
tensor | epoch 131 | top1=0.3636 top2=0.4175 top3=0.4449 top4=0.4634 top5=0.4776 loss=0.087313 time=463.07s
tensor | epoch 132 | top1=0.3763 top2=0.4313 top3=0.4596 top4=0.4788 top5=0.4943 loss=0.087192 time=463.48s
tensor | epoch 133 | top1=0.3672 top2=0.4214 top3=0.4489 top4=0.4672 top5=0.4822 loss=0.087303 time=463.20s
tensor | epoch 134 | top1=0.3741 top2=0.4284 top3=0.4551 top4=0.4738 top5=0.4876 loss=0.086383 time=463.35s
tensor | epoch 135 | top1=0.3754 top2=0.4284 top3=0.4557 top4=0.4740 top5=0.4884 loss=0.086065 time=463.13s
tensor | epoch 136 | top1=0.3851 top2=0.4378 top3=0.4649 top4=0.4835 top5=0.4972 loss=0.086310 time=463.27s
tensor | epoch 137 | top1=0.3761 top2=0.4273 top3=0.4535 top4=0.4712 top5=0.4854 loss=0.085236 time=463.35s
tensor | epoch 138 | top1=0.3701 top2=0.4205 top3=0.4463 top4=0.4640 top5=0.4778 loss=0.085350 time=463.45s
tensor | epoch 139 | top1=0.3784 top2=0.4290 top3=0.4549 top4=0.4726 top5=0.4860 loss=0.084441 time=463.45s
tensor | epoch 140 | top1=0.3862 top2=0.4350 top3=0.4600 top4=0.4780 top5=0.4918 loss=0.084446 time=463.47s
tensor | epoch 141 | top1=0.3931 top2=0.4400 top3=0.4643 top4=0.4816 top5=0.4943 loss=0.082610 time=463.28s
tensor | epoch 142 | top1=0.3750 top2=0.4233 top3=0.4473 top4=0.4649 top5=0.4783 loss=0.083289 time=463.68s
tensor | epoch 143 | top1=0.3996 top2=0.4481 top3=0.4728 top4=0.4899 top5=0.5024 loss=0.082639 time=463.31s
tensor | epoch 144 | top1=0.3954 top2=0.4435 top3=0.4689 top4=0.4853 top5=0.4983 loss=0.083453 time=463.61s
tensor | epoch 145 | top1=0.4053 top2=0.4509 top3=0.4746 top4=0.4903 top5=0.5033 loss=0.081655 time=463.21s
tensor | epoch 146 | top1=0.4104 top2=0.4563 top3=0.4797 top4=0.4959 top5=0.5085 loss=0.081452 time=463.53s
tensor | epoch 147 | top1=0.3922 top2=0.4373 top3=0.4610 top4=0.4776 top5=0.4910 loss=0.081871 time=463.28s
tensor | epoch 148 | top1=0.4006 top2=0.4458 top3=0.4685 top4=0.4848 top5=0.4977 loss=0.081484 time=463.03s
tensor | epoch 149 | top1=0.4091 top2=0.4537 top3=0.4761 top4=0.4928 top5=0.5058 loss=0.080950 time=463.29s
tensor | epoch 150 | top1=0.3987 top2=0.4401 top3=0.4612 top4=0.4775 top5=0.4905 loss=0.080207 time=463.35s
tensor | epoch 151 | top1=0.4114 top2=0.4547 top3=0.4772 top4=0.4930 top5=0.5058 loss=0.079927 time=463.41s
tensor | epoch 152 | top1=0.4091 top2=0.4502 top3=0.4711 top4=0.4865 top5=0.4989 loss=0.079033 time=463.34s
tensor | epoch 153 | top1=0.4288 top2=0.4703 top3=0.4914 top4=0.5068 top5=0.5187 loss=0.078908 time=463.37s
tensor | epoch 154 | top1=0.4160 top2=0.4571 top3=0.4773 top4=0.4928 top5=0.5053 loss=0.078672 time=463.44s
tensor | epoch 155 | top1=0.4271 top2=0.4685 top3=0.4898 top4=0.5051 top5=0.5170 loss=0.078513 time=463.35s
tensor | epoch 156 | top1=0.4230 top2=0.4639 top3=0.4850 top4=0.5010 top5=0.5127 loss=0.078574 time=463.21s
tensor | epoch 157 | top1=0.4246 top2=0.4640 top3=0.4850 top4=0.4993 top5=0.5118 loss=0.078219 time=463.29s
tensor | epoch 158 | top1=0.4302 top2=0.4698 top3=0.4910 top4=0.5055 top5=0.5177 loss=0.077601 time=463.28s
tensor | epoch 159 | top1=0.4212 top2=0.4594 top3=0.4802 top4=0.4945 top5=0.5064 loss=0.076869 time=463.49s
tensor | epoch 160 | top1=0.4213 top2=0.4582 top3=0.4779 top4=0.4928 top5=0.5041 loss=0.076724 time=463.33s
tensor | epoch 161 | top1=0.4384 top2=0.4761 top3=0.4962 top4=0.5109 top5=0.5233 loss=0.076854 time=463.48s
tensor | epoch 162 | top1=0.4275 top2=0.4645 top3=0.4847 top4=0.4992 top5=0.5115 loss=0.076170 time=463.41s
tensor | epoch 163 | top1=0.4484 top2=0.4849 top3=0.5045 top4=0.5184 top5=0.5301 loss=0.074900 time=463.23s
tensor | epoch 164 | top1=0.4319 top2=0.4683 top3=0.4875 top4=0.5021 top5=0.5143 loss=0.075463 time=463.40s
tensor | epoch 165 | top1=0.4400 top2=0.4764 top3=0.4963 top4=0.5110 top5=0.5227 loss=0.075627 time=463.14s
tensor | epoch 166 | top1=0.4333 top2=0.4683 top3=0.4876 top4=0.5021 top5=0.5141 loss=0.075195 time=463.22s
tensor | epoch 167 | top1=0.4519 top2=0.4863 top3=0.5052 top4=0.5191 top5=0.5307 loss=0.073755 time=463.48s
tensor | epoch 168 | top1=0.4473 top2=0.4813 top3=0.5006 top4=0.5150 top5=0.5260 loss=0.074049 time=463.65s
tensor | epoch 169 | top1=0.4544 top2=0.4889 top3=0.5085 top4=0.5228 top5=0.5341 loss=0.073952 time=463.61s
tensor | epoch 170 | top1=0.4527 top2=0.4856 top3=0.5044 top4=0.5190 top5=0.5306 loss=0.073810 time=463.52s
tensor | epoch 171 | top1=0.4471 top2=0.4816 top3=0.5005 top4=0.5147 top5=0.5268 loss=0.074516 time=463.43s
tensor | epoch 172 | top1=0.4578 top2=0.4914 top3=0.5100 top4=0.5243 top5=0.5364 loss=0.073258 time=463.34s
tensor | epoch 173 | top1=0.4522 top2=0.4861 top3=0.5042 top4=0.5190 top5=0.5309 loss=0.073298 time=463.42s
tensor | epoch 174 | top1=0.4602 top2=0.4914 top3=0.5095 top4=0.5238 top5=0.5356 loss=0.072450 time=463.08s
tensor | epoch 175 | top1=0.4503 top2=0.4832 top3=0.5026 top4=0.5172 top5=0.5292 loss=0.073116 time=463.46s
tensor | epoch 176 | top1=0.4455 top2=0.4785 top3=0.4970 top4=0.5117 top5=0.5238 loss=0.072909 time=463.23s
tensor | epoch 177 | top1=0.4492 top2=0.4829 top3=0.5029 top4=0.5169 top5=0.5289 loss=0.072803 time=463.32s
tensor | epoch 178 | top1=0.4662 top2=0.4976 top3=0.5160 top4=0.5300 top5=0.5418 loss=0.071842 time=463.37s
tensor | epoch 179 | top1=0.4674 top2=0.4998 top3=0.5178 top4=0.5318 top5=0.5434 loss=0.072077 time=463.38s
tensor | epoch 180 | top1=0.4606 top2=0.4940 top3=0.5127 top4=0.5269 top5=0.5388 loss=0.072530 time=463.40s
tensor | epoch 181 | top1=0.4616 top2=0.4942 top3=0.5134 top4=0.5274 top5=0.5398 loss=0.072057 time=463.20s
tensor | epoch 182 | top1=0.4674 top2=0.4986 top3=0.5186 top4=0.5329 top5=0.5445 loss=0.071477 time=463.19s
tensor | epoch 183 | top1=0.4707 top2=0.5016 top3=0.5204 top4=0.5351 top5=0.5474 loss=0.070712 time=463.21s
tensor | epoch 184 | top1=0.4418 top2=0.4732 top3=0.4917 top4=0.5068 top5=0.5189 loss=0.071087 time=463.29s
tensor | epoch 185 | top1=0.4548 top2=0.4857 top3=0.5041 top4=0.5184 top5=0.5302 loss=0.069819 time=463.19s
tensor | epoch 186 | top1=0.4634 top2=0.4954 top3=0.5153 top4=0.5303 top5=0.5425 loss=0.070967 time=463.55s
tensor | epoch 187 | top1=0.4657 top2=0.4973 top3=0.5162 top4=0.5304 top5=0.5429 loss=0.070320 time=463.23s
tensor | epoch 188 | top1=0.4641 top2=0.4960 top3=0.5150 top4=0.5297 top5=0.5422 loss=0.070608 time=463.35s
tensor | epoch 189 | top1=0.4631 top2=0.4948 top3=0.5151 top4=0.5297 top5=0.5422 loss=0.070575 time=463.25s
tensor | epoch 190 | top1=0.4721 top2=0.5039 top3=0.5228 top4=0.5376 top5=0.5502 loss=0.069969 time=463.15s
tensor | epoch 191 | top1=0.4701 top2=0.5011 top3=0.5203 top4=0.5345 top5=0.5465 loss=0.069749 time=463.28s
tensor | epoch 192 | top1=0.4663 top2=0.4979 top3=0.5184 top4=0.5344 top5=0.5472 loss=0.070373 time=463.33s
tensor | epoch 193 | top1=0.4720 top2=0.5026 top3=0.5221 top4=0.5365 top5=0.5484 loss=0.069251 time=463.43s
tensor | epoch 194 | top1=0.4832 top2=0.5143 top3=0.5342 top4=0.5493 top5=0.5615 loss=0.069836 time=463.61s
tensor | epoch 195 | top1=0.4735 top2=0.5055 top3=0.5244 top4=0.5390 top5=0.5512 loss=0.069837 time=463.34s
tensor | epoch 196 | top1=0.4745 top2=0.5059 top3=0.5251 top4=0.5396 top5=0.5518 loss=0.069272 time=463.46s
tensor | epoch 197 | top1=0.4793 top2=0.5114 top3=0.5313 top4=0.5470 top5=0.5600 loss=0.069985 time=463.23s
tensor | epoch 198 | top1=0.4795 top2=0.5116 top3=0.5314 top4=0.5460 top5=0.5588 loss=0.070087 time=463.50s
tensor | epoch 199 | top1=0.4672 top2=0.4999 top3=0.5190 top4=0.5347 top5=0.5478 loss=0.070583 time=463.45s
tensor | epoch 200 | top1=0.4788 top2=0.5102 top3=0.5299 top4=0.5455 top5=0.5576 loss=0.069636 time=463.25s
