Train epoch 1: top1=0.15821999311447144%, top2=0.3027999997138977%, top3=0.43035998940467834%, top4=0.5400999784469604%, top5=0.6409199833869934%, loss=0.03516495013475418, time=2346.5427701473236s
Train epoch 2: top1=0.1844400018453598%, top2=0.34751999378204346%, top3=0.4865399897098541%, top4=0.5995799899101257%, top5=0.700219988822937%, loss=0.033795999257564546, time=2408.354166507721s
Train epoch 3: top1=0.18558000028133392%, top2=0.35359999537467957%, top3=0.4909399747848511%, top4=0.6059399843215942%, top5=0.7071399688720703%, loss=0.03368195992708206, time=2268.2961559295654s
Train epoch 4: top1=0.19703999161720276%, top2=0.3716599941253662%, top3=0.507099986076355%, top4=0.6211400032043457%, top5=0.7184799909591675%, loss=0.03330138471364975, time=2360.5724556446075s
Train epoch 5: top1=0.2088399976491928%, top2=0.3845999836921692%, top3=0.5212399959564209%, top4=0.6297799944877625%, top5=0.7244399785995483%, loss=0.033057169044017794, time=2654.126685142517s
Train epoch 6: top1=0.21585999429225922%, top2=0.394459992647171%, top3=0.5357599854469299%, top4=0.6461600065231323%, top5=0.7417599558830261%, loss=0.03272418398380279, time=2523.0057878494263s
Train epoch 7: top1=0.216839998960495%, top2=0.40011999011039734%, top3=0.5399599671363831%, top4=0.6511399745941162%, top5=0.7450799942016602%, loss=0.03266586841106415, time=2744.3979086875916s
Train epoch 8: top1=0.21755999326705933%, top2=0.3967599868774414%, top3=0.5315200090408325%, top4=0.6417799592018127%, top5=0.7365399599075317%, loss=0.032733055365085605, time=2165.9260358810425s
Train epoch 9: top1=0.22627998888492584%, top2=0.4078199863433838%, top3=0.5450400114059448%, top4=0.6540399789810181%, top5=0.7476199865341187%, loss=0.032420740575790405, time=2839.3321306705475s
Train epoch 10: top1=0.23427999019622803%, top2=0.41825997829437256%, top3=0.556439995765686%, top4=0.6668199896812439%, top5=0.7587999701499939%, loss=0.03216401561498642, time=3167.574922323227s
Train epoch 11: top1=0.23643998801708221%, top2=0.41981998085975647%, top3=0.559179961681366%, top4=0.6667400002479553%, top5=0.7587999701499939%, loss=0.032154713723659516, time=2895.5373725891113s
Train epoch 12: top1=0.23019999265670776%, top2=0.4103599786758423%, top3=0.5497399568557739%, top4=0.6587399840354919%, top5=0.7495200037956238%, loss=0.03236680497407913, time=1746.5005612373352s
Train epoch 13: top1=0.24511998891830444%, top2=0.43347999453544617%, top3=0.5744400024414062%, top4=0.6826800107955933%, top5=0.7709599733352661%, loss=0.03167934855699539, time=1641.2078504562378s
Train epoch 14: top1=0.25203999876976013%, top2=0.44143998622894287%, top3=0.5831599831581116%, top4=0.6909199953079224%, top5=0.7777599692344666%, loss=0.03146836812734604, time=203.97239089012146s
Train epoch 15: top1=0.2613599896430969%, top2=0.45249998569488525%, top3=0.5959799885749817%, top4=0.7003200054168701%, top5=0.7848399877548218%, loss=0.031141297924518585, time=203.98658227920532s
Train epoch 16: top1=0.25015997886657715%, top2=0.43991997838020325%, top3=0.5817599892616272%, top4=0.6901599764823914%, top5=0.7759599685668945%, loss=0.0315058620595932, time=203.97802901268005s
Train epoch 17: top1=0.26211997866630554%, top2=0.4556199908256531%, top3=0.5987200140953064%, top4=0.7018199563026428%, top5=0.7861199975013733%, loss=0.03106843332052231, time=202.7337589263916s
Train epoch 18: top1=0.27605998516082764%, top2=0.47147998213768005%, top3=0.6132799983024597%, top4=0.7164999842643738%, top5=0.7978799939155579%, loss=0.030592374408245086, time=203.46199488639832s
