original | epoch 51 | top1=0.2263 top2=0.2916 top3=0.3294 top4=0.3569 top5=0.3791 loss=0.054167 time=428.43s
original | epoch 52 | top1=0.2421 top2=0.3087 top3=0.3478 top4=0.3751 top5=0.3966 loss=0.053418 time=430.01s
original | epoch 53 | top1=0.2433 top2=0.3106 top3=0.3494 top4=0.3768 top5=0.3992 loss=0.053274 time=430.58s
original | epoch 54 | top1=0.2553 top2=0.3224 top3=0.3616 top4=0.3884 top5=0.4085 loss=0.052203 time=430.12s
original | epoch 55 | top1=0.2570 top2=0.3245 top3=0.3634 top4=0.3914 top5=0.4119 loss=0.052628 time=428.38s
original | epoch 56 | top1=0.2593 top2=0.3238 top3=0.3599 top4=0.3856 top5=0.4058 loss=0.051422 time=428.98s
original | epoch 57 | top1=0.2740 top2=0.3409 top3=0.3779 top4=0.4041 top5=0.4249 loss=0.051338 time=430.10s
original | epoch 58 | top1=0.2828 top2=0.3500 top3=0.3879 top4=0.4143 top5=0.4350 loss=0.051396 time=430.14s
original | epoch 59 | top1=0.2903 top2=0.3581 top3=0.3956 top4=0.4207 top5=0.4403 loss=0.050013 time=430.60s
original | epoch 60 | top1=0.2669 top2=0.3288 top3=0.3638 top4=0.3881 top5=0.4066 loss=0.049919 time=429.97s
original | epoch 61 | top1=0.3012 top2=0.3664 top3=0.4019 top4=0.4265 top5=0.4453 loss=0.049276 time=430.77s
original | epoch 62 | top1=0.3124 top2=0.3799 top3=0.4146 top4=0.4401 top5=0.4594 loss=0.049149 time=430.03s
original | epoch 63 | top1=0.3125 top2=0.3773 top3=0.4118 top4=0.4355 top5=0.4541 loss=0.048231 time=428.48s
original | epoch 64 | top1=0.3200 top2=0.3842 top3=0.4193 top4=0.4425 top5=0.4592 loss=0.048210 time=429.23s
original | epoch 65 | top1=0.3090 top2=0.3691 top3=0.4013 top4=0.4240 top5=0.4414 loss=0.047128 time=429.80s
original | epoch 66 | top1=0.3200 top2=0.3822 top3=0.4148 top4=0.4371 top5=0.4547 loss=0.047660 time=429.92s
original | epoch 67 | top1=0.3186 top2=0.3790 top3=0.4120 top4=0.4344 top5=0.4511 loss=0.047488 time=429.87s
original | epoch 68 | top1=0.3391 top2=0.3996 top3=0.4320 top4=0.4536 top5=0.4699 loss=0.046560 time=429.21s
original | epoch 69 | top1=0.3331 top2=0.3910 top3=0.4217 top4=0.4426 top5=0.4595 loss=0.046532 time=431.21s
original | epoch 70 | top1=0.3404 top2=0.4001 top3=0.4310 top4=0.4531 top5=0.4692 loss=0.046329 time=430.69s
original | epoch 71 | top1=0.3413 top2=0.3996 top3=0.4297 top4=0.4510 top5=0.4672 loss=0.045601 time=429.98s
original | epoch 72 | top1=0.3549 top2=0.4119 top3=0.4415 top4=0.4625 top5=0.4773 loss=0.044776 time=430.08s
original | epoch 73 | top1=0.3619 top2=0.4185 top3=0.4491 top4=0.4692 top5=0.4841 loss=0.044807 time=429.57s
original | epoch 74 | top1=0.3513 top2=0.4032 top3=0.4304 top4=0.4491 top5=0.4649 loss=0.044289 time=428.26s
original | epoch 75 | top1=0.3724 top2=0.4276 top3=0.4558 top4=0.4755 top5=0.4906 loss=0.043785 time=430.08s
original | epoch 76 | top1=0.3745 top2=0.4279 top3=0.4558 top4=0.4749 top5=0.4897 loss=0.044008 time=429.66s
original | epoch 77 | top1=0.3677 top2=0.4191 top3=0.4461 top4=0.4648 top5=0.4800 loss=0.042624 time=429.26s
original | epoch 78 | top1=0.3956 top2=0.4480 top3=0.4748 top4=0.4929 top5=0.5073 loss=0.043209 time=430.63s
original | epoch 79 | top1=0.3755 top2=0.4243 top3=0.4500 top4=0.4683 top5=0.4828 loss=0.043060 time=429.52s
original | epoch 80 | top1=0.3925 top2=0.4421 top3=0.4673 top4=0.4855 top5=0.4996 loss=0.042468 time=430.96s
original | epoch 81 | top1=0.3797 top2=0.4252 top3=0.4492 top4=0.4664 top5=0.4800 loss=0.041487 time=429.64s
original | epoch 82 | top1=0.3864 top2=0.4353 top3=0.4608 top4=0.4787 top5=0.4926 loss=0.042537 time=428.99s
original | epoch 83 | top1=0.4084 top2=0.4554 top3=0.4800 top4=0.4971 top5=0.5113 loss=0.041784 time=430.01s
original | epoch 84 | top1=0.3927 top2=0.4377 top3=0.4615 top4=0.4790 top5=0.4932 loss=0.041384 time=430.74s
original | epoch 85 | top1=0.4042 top2=0.4500 top3=0.4739 top4=0.4910 top5=0.5046 loss=0.041238 time=431.21s
original | epoch 86 | top1=0.3937 top2=0.4388 top3=0.4639 top4=0.4819 top5=0.4954 loss=0.041376 time=430.49s
original | epoch 87 | top1=0.4046 top2=0.4485 top3=0.4719 top4=0.4888 top5=0.5023 loss=0.041054 time=430.86s
original | epoch 88 | top1=0.4133 top2=0.4570 top3=0.4803 top4=0.4967 top5=0.5098 loss=0.040704 time=430.53s
original | epoch 89 | top1=0.3910 top2=0.4333 top3=0.4566 top4=0.4741 top5=0.4881 loss=0.040546 time=430.61s
original | epoch 90 | top1=0.4077 top2=0.4495 top3=0.4709 top4=0.4872 top5=0.5004 loss=0.040355 time=429.87s
original | epoch 91 | top1=0.4208 top2=0.4644 top3=0.4872 top4=0.5032 top5=0.5161 loss=0.040390 time=430.15s
original | epoch 92 | top1=0.4118 top2=0.4523 top3=0.4754 top4=0.4914 top5=0.5048 loss=0.040320 time=428.77s
original | epoch 93 | top1=0.4029 top2=0.4444 top3=0.4663 top4=0.4828 top5=0.4959 loss=0.040275 time=431.04s
original | epoch 94 | top1=0.4121 top2=0.4549 top3=0.4774 top4=0.4934 top5=0.5067 loss=0.039613 time=429.91s
original | epoch 95 | top1=0.4205 top2=0.4609 top3=0.4826 top4=0.4988 top5=0.5117 loss=0.039586 time=432.48s
original | epoch 96 | top1=0.4221 top2=0.4629 top3=0.4847 top4=0.5000 top5=0.5135 loss=0.039281 time=429.94s
original | epoch 97 | top1=0.4200 top2=0.4598 top3=0.4822 top4=0.4977 top5=0.5105 loss=0.039685 time=431.18s
original | epoch 98 | top1=0.4074 top2=0.4478 top3=0.4708 top4=0.4878 top5=0.5018 loss=0.040220 time=429.65s
original | epoch 99 | top1=0.4208 top2=0.4618 top3=0.4847 top4=0.5005 top5=0.5136 loss=0.039778 time=429.43s
original | epoch 100 | top1=0.4177 top2=0.4572 top3=0.4790 top4=0.4949 top5=0.5075 loss=0.039397 time=428.80s
