tensor | epoch 1 | top1=0.0050 top2=0.0103 top3=0.0156 top4=0.0207 top5=0.0256 loss=0.171678 time=443.74s
tensor | epoch 2 | top1=0.0094 top2=0.0183 top3=0.0262 top4=0.0340 top5=0.0419 loss=0.164268 time=443.88s
tensor | epoch 3 | top1=0.0149 top2=0.0272 top3=0.0385 top4=0.0495 top5=0.0603 loss=0.161602 time=444.09s
tensor | epoch 4 | top1=0.0194 top2=0.0356 top3=0.0492 top4=0.0626 top5=0.0754 loss=0.159538 time=444.17s
tensor | epoch 5 | top1=0.0299 top2=0.0508 top3=0.0694 top4=0.0856 top5=0.1012 loss=0.155892 time=444.09s
tensor | epoch 6 | top1=0.0406 top2=0.0683 top3=0.0911 top4=0.1106 top5=0.1285 loss=0.151901 time=444.47s
tensor | epoch 7 | top1=0.0537 top2=0.0872 top3=0.1139 top4=0.1367 top5=0.1567 loss=0.148892 time=444.34s
tensor | epoch 8 | top1=0.0622 top2=0.0981 top3=0.1264 top4=0.1500 top5=0.1710 loss=0.146114 time=444.00s
tensor | epoch 9 | top1=0.0711 top2=0.1107 top3=0.1413 top4=0.1661 top5=0.1872 loss=0.143751 time=444.45s
tensor | epoch 10 | top1=0.0769 top2=0.1182 top3=0.1497 top4=0.1751 top5=0.1976 loss=0.142218 time=444.19s
tensor | epoch 11 | top1=0.0832 top2=0.1279 top3=0.1597 top4=0.1861 top5=0.2087 loss=0.140783 time=444.32s
tensor | epoch 12 | top1=0.0918 top2=0.1390 top3=0.1724 top4=0.1994 top5=0.2225 loss=0.138949 time=444.02s
tensor | epoch 13 | top1=0.0963 top2=0.1429 top3=0.1759 top4=0.2031 top5=0.2267 loss=0.137878 time=444.24s
tensor | epoch 14 | top1=0.1042 top2=0.1550 top3=0.1909 top4=0.2192 top5=0.2426 loss=0.136509 time=444.10s
tensor | epoch 15 | top1=0.1105 top2=0.1620 top3=0.1981 top4=0.2268 top5=0.2510 loss=0.135098 time=444.40s
tensor | epoch 16 | top1=0.1129 top2=0.1651 top3=0.2025 top4=0.2316 top5=0.2554 loss=0.134539 time=444.71s
tensor | epoch 17 | top1=0.1167 top2=0.1709 top3=0.2092 top4=0.2382 top5=0.2616 loss=0.133506 time=443.96s
tensor | epoch 18 | top1=0.1193 top2=0.1738 top3=0.2110 top4=0.2407 top5=0.2643 loss=0.133127 time=444.19s
tensor | epoch 19 | top1=0.1221 top2=0.1760 top3=0.2128 top4=0.2422 top5=0.2660 loss=0.132196 time=444.34s
tensor | epoch 20 | top1=0.1224 top2=0.1764 top3=0.2140 top4=0.2419 top5=0.2656 loss=0.131943 time=443.95s
tensor | epoch 21 | top1=0.1290 top2=0.1850 top3=0.2216 top4=0.2505 top5=0.2749 loss=0.131146 time=444.25s
tensor | epoch 22 | top1=0.1273 top2=0.1836 top3=0.2218 top4=0.2512 top5=0.2748 loss=0.130603 time=444.14s
tensor | epoch 23 | top1=0.1275 top2=0.1823 top3=0.2193 top4=0.2485 top5=0.2723 loss=0.130054 time=444.09s
tensor | epoch 24 | top1=0.1321 top2=0.1887 top3=0.2256 top4=0.2547 top5=0.2788 loss=0.129570 time=444.11s
